sgRNA	Gene	Clip2_8_IN8_treatment_BC23_IGO_09496_15_S15
COPS6_29746	COPS6	2
ENPP2_13623	ENPP2	2
APOA1BP_59485	APOA1BP	11
LOC102723859_76412	LOC102723859	14
SCRN2_55503	SCRN2	3
AS3MT_45442	AS3MT	5
ENY2_44657	ENY2	8
P2RY10_36050	P2RY10	19
NIPA2_51788	NIPA2	3
KIF21A_42769	KIF21A	11
YBEY_39745	YBEY	8
CEBPZ_27180	CEBPZ	4
SLCO5A1_51919	SLCO5A1	17
OR8B8_35050	OR8B8	6
TUBB8_69856	TUBB8	1
FUS_6640	FUS	5
KCNA10_9972	KCNA10	11
THEMIS_70763	THEMIS	5
PPP2R2B_14626	PPP2R2B	10
ST6GALNAC1_43443	ST6GALNAC1	20
KIR2DS4_10190	KIR2DS4	3
SLC22A12_57629	SLC22A12	4
HSPA13_18383	HSPA13	3
FSTL5_44456	FSTL5	10
C17orf104_67617	C17orf104	8
OXLD1_68880	OXLD1	17
ALYREF_27290	ALYREF	2
NAA15_50810	NAA15	8
MRGPRF_57802	MRGPRF	4
KMT2A_11546	KMT2A	4
IL24_29829	IL24	15
ADAMTS14_60968	ADAMTS14	14
HIST2H3A_68593	HIST2H3A	10
MXRA7_72826	MXRA7	2
NARS2_49781	NARS2	2
PSMD4_15250	PSMD4	6
YTHDF3_66366	YTHDF3	4
LUM_10875	LUM	16
GNL1_7390	GNL1	8
IFT22_48078	IFT22	19
USP17L20_75629	USP17L20	4
WNT8A_20287	WNT8A	10
URB1_26272	URB1	6
PPP5D1_75861	PPP5D1	13
CLDN18_38150	CLDN18	6
SDHC_17096	SDHC	2
SLC35E2_26384	SLC35E2	9
PRR7_51314	PRR7	13
ZNF699_70359	ZNF699	12
OR51D1_71552	OR51D1	6
PIK3IP1_57053	PIK3IP1	4
FST_28185	FST	7
MRO_52579	MRO	20
AP1B1_459	AP1B1	7
RNF183_60551	RNF183	19
WDR1_26535	WDR1	2
GMIP_38379	GMIP	12
KRTAP10-12_70701	KRTAP10-12	18
GNA12_7298	GNA12	4
GPATCH4_40815	GPATCH4	1
P2RY2_13200	P2RY2	5
TSPAN14_51807	TSPAN14	4
TAAR2_24402	TAAR2	3
FAM101A_61308	FAM101A	6
JUN_9914	JUN	4
ANGEL1_32560	ANGEL1	2
VDR_20127	VDR	15
VCAN_4099	VCAN	11
VCX2_38858	VCX2	2
RASA4_27189	RASA4	13
LOC728392_74677	LOC728392	10
SEMA5B_39922	SEMA5B	10
RNASEH1_66213	RNASEH1	6
TMEM72_73759	TMEM72	14
ADH1B_337	ADH1B	13
MRLN_75932	MRLN	5
WDR75_52949	WDR75	1
MTUS2_32328	MTUS2	3
FRMD5_54668	FRMD5	7
MUSTN1_71295	MUSTN1	8
FOSB_6552	FOSB	7
PLA2G4B_75509	PLA2G4B	6
TAF5_18650	TAF5	6
ORM1_13117	ORM1	5
TMEM57_41978	TMEM57	5
CEP164_31153	CEP164	6
HIST1H2AM_21642	HIST1H2AM	3
KIF1B_31718	KIF1B	15
CAD_2198	CAD	1
CISD3_67642	CISD3	6
TNXB_19433	TNXB	12
SRSF12_60352	SRSF12	4
ANXA11_849	ANXA11	14
IWS1_43004	IWS1	8
ZNF18_20502	ZNF18	26
STK31_44089	STK31	11
RFX8_75076	RFX8	15
TMEM9B_44372	TMEM9B	2
SLC17A3_29165	SLC17A3	4
MICAL3_45820	MICAL3	5
ZFYVE21_48786	ZFYVE21	13
NETO1_51931	NETO1	7
EEF1G_5324	EEF1G	1
IL1RL2_23045	IL1RL2	9
SLC16A9_65630	SLC16A9	12
GRM4_7800	GRM4	20
MTDH_56127	MTDH	5
ZCCHC2_40859	ZCCHC2	12
CCDC37_69978	CCDC37	7
PAPOLA_29529	PAPOLA	5
OTOS_62368	OTOS	16
ZFAND5_20840	ZFAND5	16
MCM5_11248	MCM5	2
PDZD7_50453	PDZD7	5
CCR9_29215	CCR9	3
NOL7_38705	NOL7	12
FAM86B2_74294	FAM86B2	3
PTGS2_15366	PTGS2	12
ABT1_36604	ABT1	9
APELA_75862	APELA	15
SH3BP1_33320	SH3BP1	4
PYGB_15609	PYGB	6
GINS3_48058	GINS3	1
GTF3C6_56812	GTF3C6	11
ZNF140_20688	ZNF140	5
ARMS2_70824	ARMS2	3
XKR5_71425	XKR5	10
LARS2_32682	LARS2	2
NIFK_53553	NIFK	5
CACNG4_35553	CACNG4	7
ECT2_5260	ECT2	3
RAD50_27043	RAD50	3
ZNF586_40620	ZNF586	1
PPP6R1_31056	PPP6R1	7
CLUAP1_31606	CLUAP1	3
POTEB3_76422	POTEB3	7
SIL1_47669	SIL1	4
CYTL1_39870	CYTL1	3
C19orf60_41419	C19orf60	3
PSMD3_15245	PSMD3	11
INPP5K_39462	INPP5K	13
CPNE8_61320	CPNE8	5
MYLK3_56014	MYLK3	4
SMPD3_42589	SMPD3	16
HMGXB3_31401	HMGXB3	3
ATP6V1C1_1467	ATP6V1C1	1
PAFAH1B3_13256	PAFAH1B3	16
SPATA18_60082	SPATA18	3
HIPK3_27056	HIPK3	7
OR2A25_72002	OR2A25	10
TP53TG3_33640	TP53TG3	3
MYDGF_43843	MYDGF	22
MFAP1_11393	MFAP1	4
RSPH10B_66081	RSPH10B	6
DCAF5_23076	DCAF5	3
ZNF776_67735	ZNF776	2
TSR1_43146	TSR1	2
SAP30BP_36524	SAP30BP	12
MANBAL_47107	MANBAL	5
DERL2_37518	DERL2	1
NCBP1_12239	NCBP1	3
SSR2_18261	SSR2	6
ELOVL5_46876	ELOVL5	6
CTDSPL2_38876	CTDSPL2	6
DCDC1_69279	DCDC1	9
KERA_30066	KERA	4
CAPN1_2288	CAPN1	5
POU6F1_14484	POU6F1	8
PHKG1_13873	PHKG1	2
ADNP2_30997	ADNP2	3
CHRFAM7A_55143	CHRFAM7A	8
COL2A1_3553	COL2A1	13
SCLY_38989	SCLY	1
CNOT10_34043	CNOT10	8
ZNF443_27418	ZNF443	7
RBX1_26625	RBX1	2
BAZ2A_30377	BAZ2A	13
TNFAIP8L2-SCNM1_76190	TNFAIP8L2-SCNM1	3
C20orf78_75161	C20orf78	14
FAM179A_63823	FAM179A	10
ZNF629_32578	ZNF629	11
TP53TG3D_74876	TP53TG3D	4
ICE1_32627	ICE1	4
GPATCH4_40816	GPATCH4	8
VMA21_65117	VMA21	6
KCNA10_9970	KCNA10	7
MRPS31_27480	MRPS31	7
CRYBA2_3949	CRYBA2	11
KCNN2_10108	KCNN2	6
POU5F2_60226	POU5F2	18
PLET1_70018	PLET1	17
CCER1_64432	CCER1	14
VAC14_43065	VAC14	9
PPP1R2_14577	PPP1R2	3
TNXB_19435	TNXB	16
GAREML_62417	GAREML	12
CCIN_2454	CCIN	5
ZNF266_29148	ZNF266	7
EGR4_5408	EGR4	14
RBM48_52801	RBM48	8
VMP1_51856	VMP1	2
TXN2_33833	TXN2	2
CASC5_44924	CASC5	15
SLC39A14_33017	SLC39A14	8
CXXC4_51115	CXXC4	13
RPTN_59200	RPTN	9
ERF_5776	ERF	8
RPA3_16288	RPA3	7
TACR3_18624	TACR3	13
FAM136A_54440	FAM136A	1
OR4C12_67195	OR4C12	10
FASLG_1010	FASLG	2
SLC12A2_17618	SLC12A2	17
TAGLN_18646	TAGLN	7
CREB3L4_62011	CREB3L4	14
BNIP2_1828	BNIP2	3
OR52B6_69269	OR52B6	5
PLK3_3508	PLK3	4
OTUD7B_44711	OTUD7B	6
PLXND1_31808	PLXND1	5
SLC35G2_51250	SLC35G2	8
ZNF479_55636	ZNF479	2
POTEJ_74402	POTEJ	7
ATP5G2_1436	ATP5G2	2
REV3L_16025	REV3L	4
RERE_1320	RERE	3
OR7G2_71862	OR7G2	7
PBX1_13358	PBX1	12
TMEM135_48408	TMEM135	16
BEND6_65760	BEND6	14
RHBDF2_49521	RHBDF2	2
TKT_19234	TKT	5
ADGRF4_65772	ADGRF4	12
NOC2L_34685	NOC2L	4
CIR1_25160	CIR1	10
GRIN3A_57760	GRIN3A	16
MORC3_33014	MORC3	5
PNPLA1_68290	PNPLA1	2
CHRNA9_42711	CHRNA9	1
EIF5B_25550	EIF5B	3
SNX25_52629	SNX25	7
CTNNAL1_22805	CTNNAL1	8
MAPK15_66098	MAPK15	8
NCR3LG1_70265	NCR3LG1	5
HS3ST1_26562	HS3ST1	17
15-Sep_24731	15-Sep	7
S100B_16767	S100B	9
TNS1_19431	TNS1	14
SSTR2_18287	SSTR2	6
KDM2A_31395	KDM2A	9
ZC3H8_53740	ZC3H8	3
SCAMP2_26890	SCAMP2	5
SDC4_17072	SDC4	3
SLC2A7_62973	SLC2A7	7
NPY4R_14704	NPY4R	1
SHARPIN_51988	SHARPIN	4
KLHDC4_40508	KLHDC4	5
TMEM18_59729	TMEM18	4
TTBK2_61520	TTBK2	13
C18orf32_73462	C18orf32	12
CEPT1_27922	CEPT1	1
CHST15_38595	CHST15	5
MBLAC1_66610	MBLAC1	4
HRG_8845	HRG	11
WBSCR17_47730	WBSCR17	16
WBP4_30435	WBP4	9
EEFSEC_47005	EEFSEC	3
PRR12_45586	PRR12	7
BSND_20945	BSND	5
ISG20_9729	ISG20	14
ABCB9_32851	ABCB9	8
RNF112_20762	RNF112	2
CTSG_4249	CTSG	14
FAM86B1_54706	FAM86B1	5
RPL36A-HNRNPH2_76103	RPL36A-HNRNPH2	4
PTPDC1_60599	PTPDC1	1
SLC39A8_47417	SLC39A8	8
HELB_56351	HELB	2
DCTN4_38012	DCTN4	2
GRIK1_7734	GRIK1	7
GRPEL2_60238	GRPEL2	3
C15orf53_72195	C15orf53	3
KANK1_32012	KANK1	6
PRSS35_63968	PRSS35	8
ROGDI_49482	ROGDI	18
CSH2_4044	CSH2	11
ZNF22_20520	ZNF22	3
CNOT8_24528	CNOT8	11
GTF2E2_7940	GTF2E2	2
SLC2A8_36982	SLC2A8	7
MFSD11_49036	MFSD11	6
DHRSX_65194	DHRSX	1
N4BP2_43167	N4BP2	5
HTR3C_64170	HTR3C	2
FAM72A_74945	FAM72A	1
LOXHD1_58936	LOXHD1	3
BCL2L14_49200	BCL2L14	22
SEZ6L2_35030	SEZ6L2	6
FAM65B_25847	FAM65B	8
ALG12_48905	ALG12	14
ARRDC5_74022	ARRDC5	8
FAM180A_71418	FAM180A	11
SLC8A2_17571	SLC8A2	1
GOLGA8K_74245	GOLGA8K	5
EXTL1_5908	EXTL1	14
MBNL2_27171	MBNL2	3
ARHGEF1_23985	ARHGEF1	7
PGM5_13826	PGM5	2
MAP4K2_15673	MAP4K2	14
KIAA1804_53640	KIAA1804	2
KIF20B_25293	KIF20B	3
FXYD7_39619	FXYD7	7
SFXN4_58152	SFXN4	1
HDAC2_8267	HDAC2	1
C14orf180_72191	C14orf180	8
NOP56_28388	NOP56	1
CSGALNACT2_42523	CSGALNACT2	8
HERC4_34543	HERC4	6
REEP4_51196	REEP4	1
DPH6_55266	DPH6	8
TRMT12_41404	TRMT12	11
PRPF38B_41629	PRPF38B	6
CD5L_2580	CD5L	11
GIPC1_29081	GIPC1	8
TCF25_31356	TCF25	11
CAMK2D_2264	CAMK2D	3
SMIM11_39749	SMIM11	8
PCDHGC3_13398	PCDHGC3	7
GSC2_7848	GSC2	10
NELL2_12453	NELL2	13
HERC2_23410	HERC2	5
GPS1_7651	GPS1	4
ARVCF_1231	ARVCF	3
RPUSD4_54358	RPUSD4	7
FFAR2_7630	FFAR2	13
UPK1B_19910	UPK1B	5
GZMA_8068	GZMA	1
PTCH2_22539	PTCH2	4
SHC4_72113	SHC4	2
RIPPLY2_60297	RIPPLY2	3
GPBAR1_62490	GPBAR1	10
ATP5H_28216	ATP5H	5
F13B_5991	F13B	4
AKNAD1_66451	AKNAD1	17
ZNF705E_75387	ZNF705E	13
DEFB136_73614	DEFB136	3
ZFY_20439	ZFY	11
HIC2_31786	HIC2	4
COQ10A_56421	COQ10A	13
C20orf96_60876	C20orf96	4
GLMN_30264	GLMN	4
LENG9_56670	LENG9	7
SAV1_46889	SAV1	18
USPL1_27359	USPL1	1
POLR1B_53050	POLR1B	9
CCDC61_74921	CCDC61	13
FAM46A_42761	FAM46A	12
ARID3A_5055	ARID3A	13
PPARGC1A_29450	PPARGC1A	14
KIF19_58787	KIF19	8
FBRSL1_46173	FBRSL1	6
SKIL_17401	SKIL	10
SIRT1_32735	SIRT1	4
RNF168_63865	RNF168	10
CHRM4_3212	CHRM4	3
MOAP1_47403	MOAP1	6
FOXB2_73265	FOXB2	11
THRSP_19176	THRSP	6
KHK_10149	KHK	3
CGRRF1_28864	CGRRF1	19
RBBP4_15885	RBBP4	3
FASTKD5_46915	FASTKD5	13
SGPP2_59803	SGPP2	10
ANKRD32_53221	ANKRD32	4
MTURN_65951	MTURN	8
ANKRD16_40148	ANKRD16	3
TBC1D5_25948	TBC1D5	9
AP5B1_55721	AP5B1	2
PGAM1_13785	PGAM1	9
RSPH10B2_74586	RSPH10B2	8
HAUS7_42665	HAUS7	4
SLC35G4_74067	SLC35G4	11
CLEC4F_63838	CLEC4F	1
RNF7_25369	RNF7	3
GYG2_23373	GYG2	9
PSEN2_15099	PSEN2	8
ZNF503_54284	ZNF503	8
TM2D1_52704	TM2D1	11
C2orf81_71237	C2orf81	10
SIRT4_32727	SIRT4	2
TSG101_19637	TSG101	1
SAMD9L_65200	SAMD9L	9
VPS13C_40707	VPS13C	8
PTH2_56922	PTH2	15
FERD3L_66071	FERD3L	9
SELL_17128	SELL	11
WDR70_41559	WDR70	11
APBB1_891	APBB1	3
RDH12_61391	RDH12	3
FGF21_34969	FGF21	12
TAPBPL_41503	TAPBPL	7
COQ10A_56423	COQ10A	3
ANO10_41658	ANO10	3
LMCD1_37008	LMCD1	13
NPIPA1_24400	NPIPA1	1
ZNF783_75728	ZNF783	19
CABP7_63783	CABP7	20
SEPHS1_31265	SEPHS1	4
TMEM30A_43262	TMEM30A	8
MRPS33_39225	MRPS33	7
FANCM_46251	FANCM	12
AGRN_70564	AGRN	9
MKL1_45954	MKL1	8
HMGCR_8502	HMGCR	2
ZNF114_63627	ZNF114	9
ADAM21_22874	ADAM21	18
IST1_26014	IST1	7
MYOM1_22836	MYOM1	8
SAMD3_62864	SAMD3	15
ZNF34_51361	ZNF34	15
GNGT1_7384	GNGT1	17
UQCC3_75108	UQCC3	1
PRB1_14707	PRB1	1
ELOVL1_48123	ELOVL1	15
MECOM_5874	MECOM	10
IMMT_29771	IMMT	4
ZNF90_20630	ZNF90	5
TTYH3_51263	TTYH3	9
RAB29_23447	RAB29	6
PTPRK_15500	PTPRK	5
AGGF1_41594	AGGF1	9
LIPT2_70858	LIPT2	4
TMEM183B_74391	TMEM183B	1
EMC3_43517	EMC3	7
KCNG3_64236	KCNG3	5
PLK4_29012	PLK4	10
ENTPD3_2691	ENTPD3	6
DHRS1_57576	DHRS1	2
ATF3_1303	ATF3	11
CA9_2126	CA9	13
KRBOX1_75888	KRBOX1	2
ZNF71_46571	ZNF71	4
POLR2E_14377	POLR2E	4
LGALS4_10605	LGALS4	10
OR5A2_65495	OR5A2	2
TMEM136_65436	TMEM136	10
AKR1C4_3138	AKR1C4	8
LOC388813_71199	LOC388813	4
CYP3A7_4353	CYP3A7	10
OR51V1_67204	OR51V1	7
OR10A7_58374	OR10A7	7
UQCC2_53400	UQCC2	5
GNPTAB_49040	GNPTAB	7
GGA3_31922	GGA3	5
BRSK2_23620	BRSK2	2
EYA1_5918	EYA1	14
MCTP2_43363	MCTP2	7
RNASET2_22511	RNASET2	9
APBB2_893	APBB2	4
CFAP45_33707	CFAP45	11
XYLT2_47454	XYLT2	11
PDCD2_13489	PDCD2	1
CXorf40A_56072	CXorf40A	13
STAMBP_28688	STAMBP	6
LRRC43_66398	LRRC43	1
MRPS16_37559	MRPS16	6
CADM2_66316	CADM2	14
ZC3H3_31866	ZC3H3	2
ICE2_49559	ICE2	10
PDE4A_13513	PDE4A	7
SLC6A13_17558	SLC6A13	24
NUP133_43232	NUP133	6
GOPC_45040	GOPC	8
USP3_26569	USP3	12
ZCCHC7_53073	ZCCHC7	5
NCKAP5L_46269	NCKAP5L	8
GABARAPL1_33490	GABARAPL1	1
WNT3A_55104	WNT3A	12
CLCN2_3346	CLCN2	14
FNDC7_63688	FNDC7	5
HSPA14_38064	HSPA14	7
CNTD1_58831	CNTD1	13
DFNB31_33929	DFNB31	18
EXOSC2_32714	EXOSC2	1
CDH26_46867	CDH26	4
LIMD2_51345	LIMD2	4
PLAC8_38482	PLAC8	26
ALG6_36818	ALG6	4
MCHR1_7569	MCHR1	11
S100PBP_47994	S100PBP	2
SNED1_34283	SNED1	6
TTC26_50535	TTC26	3
OR52N2_71593	OR52N2	5
ARL5C_71850	ARL5C	7
BGLAP_1708	BGLAP	9
KRTCAP2_64673	KRTCAP2	13
TTC9C_67279	TTC9C	12
ADRBK1_434	ADRBK1	6
PSMA5_15158	PSMA5	3
GPR84_39639	GPR84	11
DNAJB13_70284	DNAJB13	3
RTN4R_48392	RTN4R	13
PLSCR3_44893	PLSCR3	1
AHSA2_59883	AHSA2	5
PPME1_38700	PPME1	1
TCIRG1_27714	TCIRG1	1
NCAPH_32687	NCAPH	18
PCDH20_48221	PCDH20	3
MEDAG_54532	MEDAG	9
PGM2_42164	PGM2	4
LYZL2_58119	LYZL2	2
MAP2_11109	MAP2	11
C17orf67_68869	C17orf67	7
MRPL32_48332	MRPL32	1
H2AFZ_8117	H2AFZ	1
RBM7_27265	RBM7	4
CTSG_4252	CTSG	8
RLTPR_61538	RLTPR	1
RCCD1_55842	RCCD1	6
VPS13A_32157	VPS13A	6
NRP2_23118	NRP2	16
SERPINB5_13900	SERPINB5	15
ACOT13_43588	ACOT13	12
FNBP4_32574	FNBP4	9
PPIE_28118	PPIE	1
CAMKV_48708	CAMKV	10
COX14_54686	COX14	10
C15orf38-AP3S2_76040	C15orf38-AP3S2	3
SAA1_16774	SAA1	13
KBTBD2_34171	KBTBD2	5
LRP4_10800	LRP4	10
LAT_35464	LAT	14
CLCN6_3363	CLCN6	4
BTNL8_50334	BTNL8	15
TPH1_19485	TPH1	1
OR6P1_59518	OR6P1	9
CRIP2_3901	CRIP2	23
DENR_22328	DENR	4
KCTD6_64771	KCTD6	2
STARD7_44545	STARD7	3
HAMP_46417	HAMP	7
ACHE_133	ACHE	3
STAM_21190	STAM	6
BACH2_46871	BACH2	5
ELAC1_42595	ELAC1	7
OR13A1_49145	OR13A1	2
CDKL4_69604	CDKL4	12
PRSS12_22081	PRSS12	14
ZNF7_20466	ZNF7	3
EHHADH_5411	EHHADH	4
MAFA_71459	MAFA	2
TAGLN3_36521	TAGLN3	10
ERP29_29685	ERP29	13
LEPR_10577	LEPR	6
LEF1_38049	LEF1	3
OR51E1_61197	OR51E1	4
PTGER4_15340	PTGER4	3
TTC5_56044	TTC5	10
GPR63_51599	GPR63	1
ZMYND12_53128	ZMYND12	17
ARIH1_33805	ARIH1	5
ACTC1_192	ACTC1	11
TTC21A_64547	TTC21A	5
WEE1_20244	WEE1	3
ACTR10_43603	ACTR10	1
KHDRBS1_28826	KHDRBS1	4
TMEM178A_59858	TMEM178A	8
ERI1_55483	ERI1	5
PLEKHH1_45570	PLEKHH1	2
TAF8_59728	TAF8	8
SLC4A9_52384	SLC4A9	6
TRIM5_54832	TRIM5	6
TSPAN9_29365	TSPAN9	6
RLIM_37916	RLIM	18
USP45_54728	USP45	4
TTC9B_61933	TTC9B	12
DGAT1_22706	DGAT1	5
TMEM147_28060	TMEM147	1
GSTM4_7901	GSTM4	11
FAM19A3_67890	FAM19A3	6
HAUS5_32552	HAUS5	2
C8orf31_68357	C8orf31	5
AKNA_51235	AKNA	9
HOXA5_8647	HOXA5	21
ZNF605_75727	ZNF605	4
THOC5_22331	THOC5	7
SETD5_41936	SETD5	9
ZNF69_20585	ZNF69	2
VN1R1_45258	VN1R1	9
TMA7_38626	TMA7	2
SHD_44718	SHD	2
ATP5G3_1439	ATP5G3	6
SUMO1_19892	SUMO1	2
NLRP7_64567	NLRP7	6
LRTM2_74439	LRTM2	11
PRR27_72363	PRR27	23
DYRK2_21952	DYRK2	3
LCE4A_64600	LCE4A	8
CELSR1_25388	CELSR1	6
DCLRE1C_47762	DCLRE1C	2
PIP4K2B_21825	PIP4K2B	12
ZSCAN9_20796	ZSCAN9	3
TMEM249_69166	TMEM249	11
SPTBN2_18149	SPTBN2	6
CHIA_35717	CHIA	2
CD300C_29380	CD300C	2
BRAF_1866	BRAF	5
FAM222A_54467	FAM222A	13
TMEM263_55496	TMEM263	13
TMEM60_54743	TMEM60	8
UFC1_38901	UFC1	6
FAM157B_75439	FAM157B	10
ZNF70_20590	ZNF70	10
ZNF230_20873	ZNF230	4
USP31_45580	USP31	9
CCDC74A_55534	CCDC74A	2
CHI3L1_3160	CHI3L1	5
OR10G7_71741	OR10G7	6
PDZK1_13642	PDZK1	4
C21orf33_21410	C21orf33	4
EVI5L_57542	EVI5L	4
HYOU1_28376	HYOU1	2
DSTN_29911	DSTN	5
PSMC3IP_36716	PSMC3IP	8
CYP4X1_67027	CYP4X1	13
LYRM2_45323	LYRM2	7
ACVRL1_237	ACVRL1	7
SHOC2_21214	SHOC2	4
OR10AG1_67137	OR10AG1	11
TMEM70_41168	TMEM70	3
CAPN2_2289	CAPN2	2
ZNF470_71084	ZNF470	3
NRP2_23119	NRP2	11
RAPGEFL1_38105	RAPGEFL1	17
CLEC4E_34844	CLEC4E	3
RBL1_15908	RBL1	14
RNF25_47620	RNF25	7
ELOVL3_52073	ELOVL3	1
NAA15_50808	NAA15	7
CFL1_3067	CFL1	2
ICAM1_9095	ICAM1	5
S100A7A_68710	S100A7A	11
CCBE1_61771	CCBE1	12
RPS16_16575	RPS16	3
ZNF90_20631	ZNF90	2
CENPBD1_56359	CENPBD1	4
IMMP2L_52712	IMMP2L	3
ANKRD13B_58857	ANKRD13B	7
CENPL_55953	CENPL	2
POLD3_28956	POLD3	3
POLE_14347	POLE	1
EGLN2_56777	EGLN2	4
SRSF6_17210	SRSF6	3
PRR5-ARHGAP8_73560	PRR5-ARHGAP8	4
NAA40_50072	NAA40	8
LIN54_60077	LIN54	9
IL1RL2_23047	IL1RL2	5
UBC_19818	UBC	2
LSM1_35903	LSM1	7
GRP_7830	GRP	4
C1orf234_74827	C1orf234	6
ZNF616_55395	ZNF616	3
HIST1H4B_21761	HIST1H4B	3
OTOP2_56330	OTOP2	2
CCDC114_56481	CCDC114	12
CA8_2121	CA8	12
SAPCD1_72394	SAPCD1	4
LCE2B_34818	LCE2B	5
MAL2_57135	MAL2	9
WFDC6_61034	WFDC6	4
CFAP61_34518	CFAP61	2
KTI12_56911	KTI12	1
DYTN_71992	DYTN	7
NXPE3_56003	NXPE3	3
FAM174B_72206	FAM174B	7
NSMAF_21933	NSMAF	7
ABHD12B_61422	ABHD12B	7
PTPRZ1_15528	PTPRZ1	1
HMOX2_8528	HMOX2	2
FAM127C_73151	FAM127C	5
MINPP1_25223	MINPP1	5
TTC31_47780	TTC31	4
LRRC14_25604	LRRC14	3
BGN_1711	BGN	15
PRR21_73877	PRR21	3
MMP17_11637	MMP17	9
HMGCS2_8511	HMGCS2	4
FURIN_13233	FURIN	3
ELP6_40798	ELP6	15
DOCK3_4967	DOCK3	6
HACD4_72452	HACD4	1
KBTBD7_52874	KBTBD7	3
FDXACB1_56048	FDXACB1	6
ZNF543_58960	ZNF543	4
ELOVL6_48854	ELOVL6	5
TMEM204_49525	TMEM204	4
KLHL5_37755	KLHL5	4
C4orf3_72374	C4orf3	13
RHNO1_52376	RHNO1	2
CCNH_2516	CCNH	8
ESYT2_45609	ESYT2	9
PSMB5_15188	PSMB5	2
THBD_19140	THBD	12
DUSP22_44646	DUSP22	1
PLAT_14098	PLAT	9
NUDT12_52258	NUDT12	14
OR3A1_13088	OR3A1	14
TAPT1_64967	TAPT1	6
MPLKIP_60452	MPLKIP	5
MGAT4D_62694	MGAT4D	9
FZD4_21594	FZD4	8
SMAD9_10983	SMAD9	11
ZBTB2_46049	ZBTB2	6
SMDT1_55957	SMDT1	11
ATP8A1_27947	ATP8A1	4
NDUFV1_12375	NDUFV1	5
OR2T33_71967	OR2T33	13
ZNF385A_34170	ZNF385A	23
PRSS8_15065	PRSS8	6
MYO1A_12089	MYO1A	7
LBHD1_48885	LBHD1	7
CLEC4F_63837	CLEC4F	5
CSK_4052	CSK	13
ATAD3A_41939	ATAD3A	3
CRYBA4_3956	CRYBA4	14
ACY3_55968	ACY3	4
C11orf1_48022	C11orf1	1
OR5D16_71636	OR5D16	14
C2orf74_69025	C2orf74	4
NISCH_30426	NISCH	2
ANKRD20A3_73113	ANKRD20A3	3
NPIPB5_75425	NPIPB5	7
TOLLIP_40018	TOLLIP	7
UBE2W_42197	UBE2W	7
TEFM_49796	TEFM	11
FAM133B_66918	FAM133B	1
PRDM1_1736	PRDM1	3
CYP2A7_4350	CYP2A7	6
TMEM55B_55629	TMEM55B	18
METTL10_72132	METTL10	3
DNAJA3_23838	DNAJA3	3
RPS5_16507	RPS5	7
DAZL_4536	DAZL	5
KRTAP9-3_52659	KRTAP9-3	1
P2RX5_13187	P2RX5	11
FAH_6056	FAH	6
ZNF564_63615	ZNF564	5
TFIP11_33617	TFIP11	4
POGK_46109	POGK	5
GBF1_22814	GBF1	9
SRL_16953	SRL	13
PIP5KL1_60592	PIP5KL1	9
CYP2E1_4387	CYP2E1	9
PPIAL4A_74334	PPIAL4A	14
ATN1_5064	ATN1	9
NRSN2_50629	NRSN2	7
NDUFA7_12289	NDUFA7	5
EMP3_5556	EMP3	4
USP17L5_74672	USP17L5	2
TLN1_19266	TLN1	6
ADH7_358	ADH7	7
KREMEN1_52766	KREMEN1	9
KCNT2_69539	KCNT2	4
Non-Targeting Control_76887	Non-Targeting Control	3
DDX27_42958	DDX27	3
C1orf115_49878	C1orf115	11
ORC1_13096	ORC1	4
TBCK_56571	TBCK	2
PRR20B_74855	PRR20B	8
HRASLS_45009	HRASLS	6
CYHR1_37286	CYHR1	4
MEPE_44706	MEPE	4
PPP1CC_14571	PPP1CC	3
TMEM54_57011	TMEM54	7
NMNAT1_48107	NMNAT1	5
SLC17A8_66212	SLC17A8	3
GJB4_59366	GJB4	5
NAA40_50073	NAA40	10
RPRD1B_46569	RPRD1B	1
SPINT2_28809	SPINT2	11
MYH11_12060	MYH11	14
ASB18_72333	ASB18	7
MCM9_66467	MCM9	6
ENGASE_48012	ENGASE	6
CNST_63734	CNST	8
LNP1_69976	LNP1	2
PDX1_9676	PDX1	4
TTC23L_62820	TTC23L	10
VAMP2_18548	VAMP2	3
ARL17A_38513	ARL17A	4
AMELX_717	AMELX	9
EIF1_27361	EIF1	8
VCAM1_20103	VCAM1	10
DGCR8_40050	DGCR8	3
SLC9A2_17591	SLC9A2	12
CDK3_2901	CDK3	5
GJC1_26843	GJC1	3
HSPA12B_57823	HSPA12B	6
SART1_23836	SART1	2
TCP10L_60782	TCP10L	4
TFF3_19054	TFF3	13
GAL3ST1_25061	GAL3ST1	7
TRMT44_62735	TRMT44	9
SLC6A6_17533	SLC6A6	2
C19orf12_52293	C19orf12	3
PUM2_32604	PUM2	6
PAPD7_29941	PAPD7	13
SPRR1B_18102	SPRR1B	4
CENPBD1_56358	CENPBD1	1
NPM1_12783	NPM1	7
DUSP13_38143	DUSP13	2
DNAJC6_26116	DNAJC6	10
RALGPS2_41574	RALGPS2	2
LY6G6F_66938	LY6G6F	1
ANAPC5_38747	ANAPC5	9
KAT2A_6999	KAT2A	3
AFF1_11556	AFF1	6
TMEM138_38940	TMEM138	5
CNTNAP3_50411	CNTNAP3	3
CPSF1_36719	CPSF1	3
NKAIN3_68384	NKAIN3	27
ATP6V1G1_25181	ATP6V1G1	10
SIRT4_32730	SIRT4	3
