sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
PPP1R3E_55594	PPP1R3E	179
TBXA2R_18781	TBXA2R	136
MAP1LC3A_53806	MAP1LC3A	24
CYP27C1_69008	CYP27C1	61
TCEB3B_38169	TCEB3B	28
EMB_60154	EMB	85
ZNF182_20514	ZNF182	113
MID1IP1_46672	MID1IP1	126
KPRP_73333	KPRP	41
Non-Targeting Control_77205	Non-Targeting Control	226
CDX4_2992	CDX4	189
PIGQ_23829	PIGQ	26
PAXIP1_31341	PAXIP1	125
DNMT3B_4949	DNMT3B	57
AHI1_40618	AHI1	29
PPP1R36_61410	PPP1R36	72
ODC1_13000	ODC1	27
KLHL25_47732	KLHL25	50
BMPER_64036	BMPER	73
SLC25A22_49843	SLC25A22	72
MC5R_11211	MC5R	172
ANO2_44978	ANO2	59
KCNK2_10087	KCNK2	104
OR8I2_58273	OR8I2	99
DMRTC1B_74755	DMRTC1B	79
TTLL4_25504	TTLL4	38
RABAC1_28519	RABAC1	73
SOD3_17943	SOD3	89
TAOK1_45812	TAOK1	126
NOV_12743	NOV	95
ASB14_61116	ASB14	32
ZNF3_20459	ZNF3	29
SLC9A8_32433	SLC9A8	59
CCL3_16966	CCL3	30
OPN1LW_15959	OPN1LW	149
PLEKHA6_31071	PLEKHA6	36
PI3_13891	PI3	74
ERP29_29683	ERP29	37
CERK_48042	CERK	71
TIMM23B_76207	TIMM23B	59
PUS10_62422	PUS10	12
MPZL1_23597	MPZL1	74
APOBEC3F_64699	APOBEC3F	187
LMX1A_10729	LMX1A	134
WDR13_47919	WDR13	86
CHML_3181	CHML	51
SMOC1_47350	SMOC1	120
USP39_28951	USP39	143
ASXL3_51375	ASXL3	65
PIK3AP1_58074	PIK3AP1	14
TMEM81_71173	TMEM81	66
RAB6C_52891	RAB6C	73
Non-Targeting Control_77265	Non-Targeting Control	297
ZNF264_24791	ZNF264	76
ATE1_30124	ATE1	29
SLC35E2B_74761	SLC35E2B	127
ANKRD13C_51729	ANKRD13C	99
GLOD5_72045	GLOD5	127
NR4A2_12946	NR4A2	73
LTBP1_10843	LTBP1	92
RAB42_57445	RAB42	81
VAMP3_24540	VAMP3	60
OPN1MW2_74702	OPN1MW2	20
TTC39C_58943	TTC39C	50
RAP1A_15803	RAP1A	121
SPG7_18053	SPG7	199
PARP16_41123	PARP16	62
FOXL2_1846	FOXL2	43
KIAA1328_45765	KIAA1328	41
RLN3_57982	RLN3	95
MAPK9_14912	MAPK9	58
C17orf102_72226	C17orf102	62
RRAGB_27758	RRAGB	55
TRIM71_59940	TRIM71	59
Non-Targeting Control_76450	Non-Targeting Control	264
PCDHGB1_43903	PCDHGB1	14
UBE3C_25625	UBE3C	158
RUNX1_2404	RUNX1	21
EPHA8_5666	EPHA8	61
PTF1A_66739	PTF1A	43
RBMS3_35987	RBMS3	45
SNX25_52630	SNX25	197
OR1D2_13074	OR1D2	83
PUS1_51132	PUS1	139
THOP1_19159	THOP1	58
SYCE1_56515	SYCE1	92
EMC8_27770	EMC8	181
SLC26A8_57736	SLC26A8	91
STKLD1_64070	STKLD1	62
MCEMP1_64550	MCEMP1	119
MTX1_11904	MTX1	27
Non-Targeting Control_77285	Non-Targeting Control	187
NTNG2_53876	NTNG2	106
SPINK7_53940	SPINK7	23
FNIP1_56763	FNIP1	44
AOC3_22525	AOC3	34
Non-Targeting Control_77349	Non-Targeting Control	240
SH3KBP1_37045	SH3KBP1	74
SLC11A1_17611	SLC11A1	16
MAP2K7_14941	MAP2K7	94
ZBTB47_56408	ZBTB47	47
CCNY_65373	CCNY	41
PPP4R4_46326	PPP4R4	24
ZDHHC6_47788	ZDHHC6	54
S1PR3_5275	S1PR3	27
ERI2_56797	ERI2	74
FAM126A_53986	FAM126A	54
MAFB_26488	MAFB	41
Non-Targeting Control_77398	Non-Targeting Control	305
ARHGAP22_46616	ARHGAP22	104
ZNF649_48479	ZNF649	19
DYNC1H1_4920	DYNC1H1	75
ELANE_5479	ELANE	143
MAN2B1_11086	MAN2B1	30
TNNI1_19393	TNNI1	186
REXO4_45005	REXO4	27
FAM86C1_41900	FAM86C1	20
ASTE1_36321	ASTE1	19
SGSM3_36116	SGSM3	91
USP29_46160	USP29	60
TFE3_19042	TFE3	46
LOR_10748	LOR	116
NELL2_12455	NELL2	95
PRSS54_65725	PRSS54	122
GFRA1_7076	GFRA1	128
ZNF678_68976	ZNF678	155
ACOX2_21556	ACOX2	14
ART5_57855	ART5	26
UVSSA_46132	UVSSA	24
SPANXB1_74766	SPANXB1	46
XAGE5_64193	XAGE5	83
ADK_361	ADK	66
FEZ1_25442	FEZ1	47
SYF2_34175	SYF2	42
KRTAP1-4_74607	KRTAP1-4	133
MAGEB1_11044	MAGEB1	41
HTATSF1_36055	HTATSF1	86
EXTL2_5909	EXTL2	48
OR5T3_71649	OR5T3	22
TMSB15B_68475	TMSB15B	109
TBKBP1_25866	TBKBP1	75
ZNF514_54336	ZNF514	47
VPS51_2044	VPS51	18
C1orf195_74476	C1orf195	20
ITGB8_9832	ITGB8	183
FAM49B_39061	FAM49B	47
TLK1_26268	TLK1	43
GPR18_7547	GPR18	109
GLIS1_62104	GLIS1	120
SLC12A1_17616	SLC12A1	29
YIF1B_55510	YIF1B	30
