sgRNA	Gene	DE_GFP_high
SULT1C3_73227	SULT1C3	853
CDHR5_39667	CDHR5	221
HNRNPH3_8607	HNRNPH3	722
JKAMP_38953	JKAMP	1953
ZNF316_75345	ZNF316	561
AKAP11_30488	AKAP11	258
USP47_41371	USP47	395
HTR3D_64788	HTR3D	1039
FAM192A_50591	FAM192A	534
CNOT7_36692	CNOT7	95
BPY2_23806	BPY2	1645
HYDIN_40536	HYDIN	1412
ZMYM2_20802	ZMYM2	798
Non-Targeting Control_77315	Non-Targeting Control	3327
INAFM2_75832	INAFM2	951
TMEM202_68840	TMEM202	601
CHN2_3192	CHN2	364
KCTD14_48553	KCTD14	284
LHX3_21186	LHX3	745
TMPRSS2_19344	TMPRSS2	637
EFCC1_50061	EFCC1	485
FOXRED1_42688	FOXRED1	219
COA5_73382	COA5	1153
LOC389895_71526	LOC389895	1696
UPK2_20011	UPK2	494
SMARCC1_17757	SMARCC1	533
HLA-G_8460	HLA-G	573
LMO4_22268	LMO4	1207
C9orf135_60576	C9orf135	427
NACAD_31873	NACAD	129
NAPB_47117	NAPB	649
CCDC121_49466	CCDC121	1240
TNMD_47378	TNMD	924
HMCN1_52565	HMCN1	851
ZNF182_20514	ZNF182	1043
NRL_12860	NRL	1000
PKHD1L1_56419	PKHD1L1	623
TRIM33_39093	TRIM33	1398
CDK11A_74753	CDK11A	132
PRSS55_65039	PRSS55	473
CREG1_23033	CREG1	187
USP36_45990	USP36	115
AKT3_26683	AKT3	485
FAM120A_32042	FAM120A	958
SP4_18023	SP4	498
TM4SF19_57685	TM4SF19	1855
PANK3_49499	PANK3	1847
TTC30A_56106	TTC30A	541
HOXC6_8723	HOXC6	818
AHSP_38515	AHSP	2450
SHROOM4_45576	SHROOM4	577
POM121L12_68304	POM121L12	211
C14orf169_49667	C14orf169	216
EDIL3_26956	EDIL3	858
GPX6_66887	GPX6	775
TMPRSS12_67391	TMPRSS12	828
CARD11_53581	CARD11	896
TBC1D22A_33671	TBC1D22A	723
COL4A4_3576	COL4A4	185
Non-Targeting Control_76799	Non-Targeting Control	2018
ANKRD24_64251	ANKRD24	233
TAS1R3_52481	TAS1R3	668
TOR2A_36127	TOR2A	805
RANBP10_46011	RANBP10	125
BST2_1900	BST2	317
TARM1_73199	TARM1	1168
CAND2_31630	CAND2	97
AKAP7_24913	AKAP7	202
HEPHL1_69294	HEPHL1	359
LNX1_54093	LNX1	782
FUT9_28922	FUT9	472
TAS2R4_37367	TAS2R4	1365
PPP5D1_75859	PPP5D1	971
BTNL9_62807	BTNL9	681
FRS2_29268	FRS2	1892
GABARAP_30803	GABARAP	139
PIPOX_38306	PIPOX	166
PGPEP1_40792	PGPEP1	641
FNDC3B_48027	FNDC3B	650
APOL3_51422	APOL3	627
LPXN_24733	LPXN	1214
PHACTR4_48523	PHACTR4	2507
ESX1_51239	ESX1	621
ROCK1_16239	ROCK1	1262
GLTPD2_70972	GLTPD2	561
TACO1_38131	TACO1	1160
RFX1_16062	RFX1	727
POU3F4_14460	POU3F4	1395
TAS2R14_37400	TAS2R14	562
SERPINB9_13915	SERPINB9	702
DPF3_21301	DPF3	734
POMP_38620	POMP	256
KCNK13_44345	KCNK13	1185
OBFC1_50546	OBFC1	454
WFDC3_60887	WFDC3	1228
MC2R_11199	MC2R	494
HIPK2_36334	HIPK2	2825
MAGEA3_11007	MAGEA3	909
SMYD1_62357	SMYD1	306
CHFR_43219	CHFR	398
PRR32_75303	PRR32	764
TXLNB_63978	TXLNB	755
FAM13B_38439	FAM13B	224
LAYN_61247	LAYN	684
DDX43_42580	DDX43	409
MAEA_27676	MAEA	2669
DECR1_4676	DECR1	1265
VPS13D_41857	VPS13D	88
BRINP1_4540	BRINP1	341
KRT72_60986	KRT72	275
CLCA2_25429	CLCA2	583
MRPS25_47801	MRPS25	245
Non-Targeting Control_76446	Non-Targeting Control	2933
ACTN1_210	ACTN1	747
Non-Targeting Control_77161	Non-Targeting Control	2271
NPPB_12789	NPPB	1015
DYTN_71990	DYTN	774
DCUN1D5_53247	DCUN1D5	1159
PPT1_14695	PPT1	304
KLF7_22431	KLF7	567
RAB31_29903	RAB31	956
SERINC3_29664	SERINC3	310
LRAT_24237	LRAT	325
TIPARP_34242	TIPARP	324
ZNF652_30939	ZNF652	1037
MRPS36_56168	MRPS36	508
STX7_21883	STX7	415
VAT1L_46218	VAT1L	110
Non-Targeting Control_77337	Non-Targeting Control	3494
TMC5_50105	TMC5	723
Non-Targeting Control_76875	Non-Targeting Control	2416
TMEM27_45399	TMEM27	1114
LURAP1_73504	LURAP1	1126
CLCA2_25430	CLCA2	245
EID2_63644	EID2	269
CFD_4711	CFD	723
OR4P4_51536	OR4P4	1284
VAX2_33768	VAX2	611
HERC1_23414	HERC1	1424
LAMTOR1_41290	LAMTOR1	850
TDRD12_55924	TDRD12	163
KRTAP2-4_54780	KRTAP2-4	405
ADGRG6_45284	ADGRG6	265
ZNF263_27092	ZNF263	239
C12orf45_58320	C12orf45	223
NSUN3_47095	NSUN3	1090
CANX_2280	CANX	197
PLP2_14203	PLP2	2359
LMOD1_33754	LMOD1	558
BBS12_63885	BBS12	499
ZDHHC23_66523	ZDHHC23	606
CD80_2631	CD80	683
F9_5972	F9	596
14-Sep_69733	14-Sep	655
