sgRNA	Gene	E8_T0
ZNF468_55416	ZNF468	565
CMTR2_43361	CMTR2	2192
MOGAT1_57715	MOGAT1	690
OR1L8_60633	OR1L8	2455
SH2D2A_23687	SH2D2A	1461
SLC22A20_72847	SLC22A20	993
Non-Targeting Control_76726	Non-Targeting Control	2984
IL26_43424	IL26	1509
ATG4B_32023	ATG4B	998
C19orf57_49072	C19orf57	1321
VIL1_20152	VIL1	914
CDA_2776	CDA	150
PPFIA2_22107	PPFIA2	583
MAD2L1_10952	MAD2L1	1409
FCER1A_6131	FCER1A	1731
CA12_2133	CA12	669
OR2F1_34755	OR2F1	2063
Non-Targeting Control_77022	Non-Targeting Control	4250
REXO2_34293	REXO2	1559
KIAA1257_45647	KIAA1257	628
ITGA9_9772	ITGA9	1526
OR51S1_58173	OR51S1	828
TMEM225_68766	TMEM225	422
KRTAP25-1_75409	KRTAP25-1	617
CYP4V2_68160	CYP4V2	1638
CCDC79_67508	CCDC79	1356
ALPL_692	ALPL	455
NDUFC2-KCTD14_76141	NDUFC2-KCTD14	1361
RAP2A_15817	RAP2A	754
RAB41_69842	RAB41	1674
OXTR_13172	OXTR	682
IL1RN_9390	IL1RN	495
BMP5_1788	BMP5	1736
ZNF398_45784	ZNF398	2660
TMCC1_31489	TMCC1	577
MYT1_12157	MYT1	641
CTNNA1_4201	CTNNA1	3284
SMAP1_47016	SMAP1	1347
TM4SF19_57686	TM4SF19	424
CHPF_49330	CHPF	987
C8G_2029	C8G	716
ABCA5_32860	ABCA5	57
SLC51B_58612	SLC51B	578
NEXN_55917	NEXN	735
FAM98C_61918	FAM98C	130
TMEM70_41167	TMEM70	456
FAM71A_62216	FAM71A	1029
USP11_21454	USP11	620
RNF219_49354	RNF219	1567
FN3K_47427	FN3K	3249
UBE3C_25627	UBE3C	1118
SSR2_18264	SSR2	645
AREL1_26254	AREL1	1687
KCNA7_9968	KCNA7	2415
EFCAB7_53644	EFCAB7	617
SYNGR1_24014	SYNGR1	1456
PDGFRB_13586	PDGFRB	621
RPS6KA1_16516	RPS6KA1	813
CAPN10_30215	CAPN10	1362
IL18BP_26900	IL18BP	687
GDPD3_49020	GDPD3	476
CYP4A11_4408	CYP4A11	2080
MYRIP_34098	MYRIP	247
PIP5K1B_21822	PIP5K1B	2077
TMCC1_31488	TMCC1	1059
APOH_990	APOH	1379
CIB2_28345	CIB2	3062
RADIL_43068	RADIL	1133
Non-Targeting Control_76664	Non-Targeting Control	4654
FAM122C_63272	FAM122C	1590
SDPR_21924	SDPR	893
SUV39H2_49747	SUV39H2	2342
SPATA3_59833	SPATA3	889
LGALSL_36452	LGALSL	1242
BANK1_41351	BANK1	990
FAM187B_61952	FAM187B	205
NOC3L_47612	NOC3L	936
ABCA8_27835	ABCA8	598
VPS37C_41415	VPS37C	1337
LTN1_34437	LTN1	1223
PKIA_14791	PKIA	597
SLC35A3_32830	SLC35A3	1706
C20orf62_61010	C20orf62	573
BTAF1_23673	BTAF1	2467
DDX60L_55804	DDX60L	395
Non-Targeting Control_77308	Non-Targeting Control	4110
Non-Targeting Control_76814	Non-Targeting Control	3056
FAM47E_75221	FAM47E	576
CHTOP_34566	CHTOP	975
ZNF653_57601	ZNF653	581
MYH4_12035	MYH4	679
KPNA4_10282	KPNA4	712
ATF3_1303	ATF3	442
GXYLT2_74518	GXYLT2	656
SEPHS1_31266	SEPHS1	350
HINT3_60325	HINT3	1572
3-Mar_57421	3-Mar	663
IL16_9529	IL16	1075
PLCG2_14135	PLCG2	378
OR52B2_66641	OR52B2	1410
ACOX1_156	ACOX1	690
SPATS2_48469	SPATS2	648
NXPE2_58257	NXPE2	1075
SLC39A10_45222	SLC39A10	112
GPX2_7665	GPX2	2388
SLC9A7_54011	SLC9A7	1544
WI2-2373I1.2_75684	WI2-2373I1.2	2272
ZC3H8_53741	ZC3H8	209
ZNF727_73257	ZNF727	1246
PGF_13804	PGF	694
MKRN2OS_75208	MKRN2OS	1704
IFITM1_22180	IFITM1	388
C9orf114_38866	C9orf114	952
RLN3_57982	RLN3	1230
CD226_28855	CD226	979
PKNOX2_47059	PKNOX2	214
SFT2D2_70427	SFT2D2	759
PFKFB1_13739	PFKFB1	1582
FEM1A_42610	FEM1A	658
WDR83OS_38692	WDR83OS	511
GFPT1_7072	GFPT1	454
BLNK_36576	BLNK	1425
KLF7_22431	KLF7	547
Non-Targeting Control_76461	Non-Targeting Control	4645
SLC23A1_26581	SLC23A1	722
CRCT1_40204	CRCT1	2698
NKX1-1_40443	NKX1-1	1068
ZNF365_31137	ZNF365	812
C2orf61_68023	C2orf61	760
C7orf69_50697	C7orf69	181
IL1RAPL2_34938	IL1RAPL2	2091
TEX29_58435	TEX29	1025
EYA3_5927	EYA3	582
HAUS1_57416	HAUS1	1171
VPS37C_41416	VPS37C	307
RHOXF1_63227	RHOXF1	2103
CHAMP1_67393	CHAMP1	795
MCF2_11227	MCF2	1121
DECR1_4674	DECR1	1177
GUK1_8022	GUK1	960
DHX57_55688	DHX57	1467
VKORC1_48673	VKORC1	1206
NDST4_47831	NDST4	1242
SWAP70_31652	SWAP70	522
PTPMT1_57377	PTPMT1	775
ZNF404_69445	ZNF404	1954
SPIC_58414	SPIC	814
RTP3_52269	RTP3	2294
KRT35_10404	KRT35	3412
EXOC6B_32168	EXOC6B	1810
POMC_14413	POMC	907
STIM2_46045	STIM2	1687
RINL_59163	RINL	487
PFKM_13763	PFKM	1140
ELAVL4_5500	ELAVL4	683
C1QBP_1951	C1QBP	1342
ZNF17_20499	ZNF17	1161
TBC1D9_31905	TBC1D9	1282
ZNF335_47152	ZNF335	583
SPAG17_64668	SPAG17	1996
KIAA1324_45760	KIAA1324	639
CYP4F8_30705	CYP4F8	1113
HOXA11_8666	HOXA11	1240
Non-Targeting Control_77309	Non-Targeting Control	7095
EFNA3_5344	EFNA3	1037
SLC25A27_24969	SLC25A27	1545
IL36B_35749	IL36B	1264
DOK6_65584	DOK6	2460
NMUR1_27725	NMUR1	752
MBLAC1_66609	MBLAC1	435
PAFAH1B1_13248	PAFAH1B1	406
NARR_76230	NARR	651
HSPA2_8933	HSPA2	1341
SLC5A3_17507	SLC5A3	495
ARHGAP6_1139	ARHGAP6	1816
GSX2_64230	GSX2	396
CLNK_57775	CLNK	98
MBD2_23440	MBD2	1217
OAS2_12962	OAS2	2494
TXNDC17_54233	TXNDC17	1387
TSPAN32_26927	TSPAN32	433
C14orf166_39194	C14orf166	1232
OR2B2_51880	OR2B2	798
APOBEC3C_36108	APOBEC3C	1430
SOGA3_70725	SOGA3	102
RHPN2_54899	RHPN2	890
EIF1_27364	EIF1	1449
KRT1_10307	KRT1	264
