sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
N4BP2_43170	N4BP2	66
TFAP2B_19010	TFAP2B	61
COL19A1_3662	COL19A1	83
SPATS2L_34331	SPATS2L	227
TRIP4_24491	TRIP4	36
Non-Targeting Control_77067	Non-Targeting Control	275
SULT2B1_18484	SULT2B1	94
MYO3B_60825	MYO3B	87
PYCR1_15597	PYCR1	33
CYP2B6_4362	CYP2B6	78
BBS1_1597	BBS1	33
Non-Targeting Control_76501	Non-Targeting Control	413
Non-Targeting Control_76478	Non-Targeting Control	425
CAP2_28256	CAP2	62
LIMK2_10667	LIMK2	33
LAMP1_10494	LAMP1	209
RNF186_40213	RNF186	209
FGF21_34967	FGF21	73
KCNJ18_75494	KCNJ18	233
Non-Targeting Control_77425	Non-Targeting Control	338
TMEM5_27776	TMEM5	201
FGF20_34940	FGF20	205
PSIP1_30347	PSIP1	139
ZNF701_43294	ZNF701	92
BECN2_73214	BECN2	18
ARX_64128	ARX	155
KRTAP10-4_70654	KRTAP10-4	67
CHAD_3107	CHAD	36
TMCO5A_61501	TMCO5A	24
LHFPL1_69229	LHFPL1	58
COX8A_3742	COX8A	105
SVIL_18539	SVIL	38
ORMDL1_56686	ORMDL1	172
AKR1C2_4615	AKR1C2	80
MARK1_11127	MARK1	290
CREBL2_3875	CREBL2	175
IGSF6_27550	IGSF6	133
FKBP1B_6350	FKBP1B	60
ZNF806_74153	ZNF806	32
GJA1_7144	GJA1	23
NXF5_43831	NXF5	198
TRAF5_19568	TRAF5	159
PHEX_13852	PHEX	82
CAPS2_54067	CAPS2	131
CTNNA2_4206	CTNNA2	93
LY75_10894	LY75	39
AVP_1522	AVP	44
ZSWIM2_62438	ZSWIM2	150
C11orf71_40064	C11orf71	107
ZCCHC12_64123	ZCCHC12	60
CD300LF_61642	CD300LF	59
ADORA3_381	ADORA3	45
GLP2R_24535	GLP2R	124
SPINK1_18066	SPINK1	75
YIPF4_53301	YIPF4	166
MORF4L1_29584	MORF4L1	44
SBSPON_63080	SBSPON	62
SLC6A20_40438	SLC6A20	39
LRRC8C_53168	LRRC8C	146
TBC1D19_42239	TBC1D19	153
FXYD1_14177	FXYD1	35
TEKT5_61558	TEKT5	91
OR8A1_71750	OR8A1	7
ZDHHC17_32670	ZDHHC17	36
OR2G2_51585	OR2G2	60
Non-Targeting Control_76545	Non-Targeting Control	372
VAV3_28124	VAV3	13
Non-Targeting Control_77143	Non-Targeting Control	248
PUS3_52174	PUS3	21
VPREB1_20183	VPREB1	50
SLFN11_55902	SLFN11	37
IL17F_56842	IL17F	42
PAAF1_50964	PAAF1	83
RHOBTB1_26309	RHOBTB1	87
IL1RAPL1_30243	IL1RAPL1	258
TMEM192_64953	TMEM192	87
CYSTM1_53568	CYSTM1	162
NFASC_31772	NFASC	57
IFT20_55457	IFT20	32
NEK11_50168	NEK11	63
LOC643355_73781	LOC643355	106
CRYBB2_3961	CRYBB2	218
LHB_10622	LHB	220
HEATR3_41362	HEATR3	100
MNDA_11658	MNDA	99
SLAMF1_17422	SLAMF1	18
SPDYE4_70988	SPDYE4	49
RSPO2_69169	RSPO2	40
CBWD6_73886	CBWD6	44
OR4C46_58189	OR4C46	117
CXCL11_17046	CXCL11	85
Non-Targeting Control_77364	Non-Targeting Control	248
LOC100129940_75248	LOC100129940	44
RPGR_16275	RPGR	119
OR6N1_59533	OR6N1	155
PRDM12_46765	PRDM12	40
OR52E6_71598	OR52E6	57
RFX1_16062	RFX1	71
PNP_12753	PNP	38
BSX_71728	BSX	71
PKD1_14037	PKD1	53
CSNK1G3_4081	CSNK1G3	76
CKMT1B_3298	CKMT1B	63
MTMR1_22941	MTMR1	64
SAGE1_42585	SAGE1	25
HECTD4_67369	HECTD4	62
CT45A6_73499	CT45A6	229
Non-Targeting Control_77427	Non-Targeting Control	213
POGK_46108	POGK	27
ZNF146_20712	ZNF146	180
DET1_41477	DET1	183
SCGB2B2_67831	SCGB2B2	124
ARNT_1174	ARNT	33
UBE2E3_28220	UBE2E3	56
ZG16_74410	ZG16	20
DBX1_58243	DBX1	143
EAF2_43540	EAF2	23
ZNF330_36002	ZNF330	66
USP47_41371	USP47	64
Non-Targeting Control_76645	Non-Targeting Control	394
ZNF691_37643	ZNF691	45
FMO3_6494	FMO3	112
SPATA31D4_71466	SPATA31D4	113
MAB21L1_10939	MAB21L1	49
SH3KBP1_37046	SH3KBP1	168
DNAH6_4887	DNAH6	95
ACOXL_42215	ACOXL	74
TMEM170A_58752	TMEM170A	32
HSPA1B_8926	HSPA1B	88
PLN_14187	PLN	219
MAP3K19_50730	MAP3K19	116
CEACAM3_3089	CEACAM3	91
RRAGC_47425	RRAGC	20
FHIT_6326	FHIT	159
EGLN3_56781	EGLN3	44
PNOC_14249	PNOC	88
AR_1050	AR	44
VPS33B_34920	VPS33B	77
OR4C12_67195	OR4C12	20
INSIG2_37942	INSIG2	64
TMPRSS4_44316	TMPRSS4	36
SPACA5_71509	SPACA5	318
Non-Targeting Control_77231	Non-Targeting Control	287
TBC1D4_26295	TBC1D4	81
SLC34A3_61099	SLC34A3	41
TGFB1_19078	TGFB1	118
CPEB3_30994	CPEB3	91
CRB2_68391	CRB2	41
LY86_24868	LY86	94
FAM46C_40780	FAM46C	34
OR12D2_35140	OR12D2	189
VCY_23812	VCY	100
TNRC18_53882	TNRC18	27
GGT7_7100	GGT7	117
KLK8_30468	KLK8	71
CIDEC_47147	CIDEC	49
ARMCX3_39047	ARMCX3	129
CTTNBP2NL_43739	CTTNBP2NL	162
RFK_42282	RFK	110
CYSLTR1_29203	CYSLTR1	143
ESR1_5801	ESR1	112
SPRY4_51957	SPRY4	141
LCE6A_73337	LCE6A	281
RTN4RL2_70023	RTN4RL2	94
MYOZ2_39486	MYOZ2	36
KLHL33_58589	KLHL33	24
FAM173A_48563	FAM173A	86
CTSV_4265	CTSV	22
IL36G_44216	IL36G	67
CYP39A1_38423	CYP39A1	45
C7orf76_72423	C7orf76	51
TEKT4_62353	TEKT4	59
SPATA31D3_71470	SPATA31D3	113
ITGB1_9800	ITGB1	146
PCDH7_13402	PCDH7	34
PCSK2_13463	PCSK2	23
CDIP1_36924	CDIP1	322
FAM159A_69949	FAM159A	38
FRZB_6589	FRZB	167
SLC22A14_24685	SLC22A14	96
TMEM184A_65018	TMEM184A	101
CADM4_64573	CADM4	68
ZSCAN12_25859	ZSCAN12	88
SMAD4_10967	SMAD4	16
PCSK6_13237	PCSK6	107
C11orf30_44667	C11orf30	139
1-Mar_41332	1-Mar	39
SOX4_17982	SOX4	83
PRPSAP2_15023	PRPSAP2	112
CD5_2574	CD5	80
LYZL6_45135	LYZL6	45
AUP1_1519	AUP1	167
Non-Targeting Control_76495	Non-Targeting Control	353
HECTD3_49527	HECTD3	97
KIFAP3_31236	KIFAP3	111
MGST3_11472	MGST3	74
OR5AC2_51510	OR5AC2	83
BCL2L14_49201	BCL2L14	69
SYAP1_56667	SYAP1	99
PLCD1_14121	PLCD1	49
CCDC60_63370	CCDC60	34
LRRC46_55499	LRRC46	93
CT47A8_74544	CT47A8	244
WBP2NL_63796	WBP2NL	171
MAS1_11138	MAS1	71
Non-Targeting Control_76715	Non-Targeting Control	215
ZNF146_20709	ZNF146	167
OR52W1_58285	OR52W1	39
Non-Targeting Control_76749	Non-Targeting Control	210
FASTKD1_49599	FASTKD1	131
SYCP1_18560	SYCP1	106
HADH_8162	HADH	61
ZNF285_35344	ZNF285	122
ARMCX1_38454	ARMCX1	45
Non-Targeting Control_77115	Non-Targeting Control	229
ANKRD66_75645	ANKRD66	196
ALDH8A1_47829	ALDH8A1	91
Non-Targeting Control_77232	Non-Targeting Control	351
Non-Targeting Control_76770	Non-Targeting Control	267
C1orf95_70435	C1orf95	62
Non-Targeting Control_77043	Non-Targeting Control	363
RSRP1_44871	RSRP1	139
ASCL2_1242	ASCL2	112
TUBB2B_69869	TUBB2B	151
POU4F3_14472	POU4F3	161
CDK5R2_23471	CDK5R2	120
GOT2_7436	GOT2	121
FKBP15_32406	FKBP15	94
Non-Targeting Control_77318	Non-Targeting Control	144
SPICE1_62640	SPICE1	36
TNNC2_19363	TNNC2	136
Non-Targeting Control_77363	Non-Targeting Control	468
CYP11A1_4424	CYP11A1	23
TP53_19453	TP53	1033
FGGY_42167	FGGY	85
FOXI3_69595	FOXI3	135
TFRC_19065	TFRC	29
APBB3_27698	APBB3	89
SLC23A1_26584	SLC23A1	19
ZIC1_20441	ZIC1	148
YWHAH_20404	YWHAH	70
MAP4K3_22078	MAP4K3	70
NUDT1_11859	NUDT1	21
Non-Targeting Control_76724	Non-Targeting Control	197
CARD6_53995	CARD6	54
SPATA17_59463	SPATA17	32
RPS6KA2_16517	RPS6KA2	76
PHKA2_13867	PHKA2	95
LPCAT2_41094	LPCAT2	28
Non-Targeting Control_76758	Non-Targeting Control	306
RAB7B_68725	RAB7B	88
DEFA5_4691	DEFA5	140
ERICH1_63043	ERICH1	94
PXDN_20972	PXDN	209
BCO1_39604	BCO1	85
SHC1_17305	SHC1	26
BHLHE41_49183	BHLHE41	26
METTL7B_64412	METTL7B	21
CMA1_3438	CMA1	65
TPSAB1_19525	TPSAB1	92
TGFBR3_19113	TGFBR3	112
SLC7A6OS_52977	SLC7A6OS	39
PRKCQ_14858	PRKCQ	72
GMPR_7290	GMPR	75
EPS15L1_46648	EPS15L1	45
PRR20E_74871	PRR20E	78
ZNF682_55736	ZNF682	43
Non-Targeting Control_77103	Non-Targeting Control	283
RNF103_20981	RNF103	35
OR5P2_58211	OR5P2	85
PSG1_15103	PSG1	96
DNMBP_32290	DNMBP	60
TMEM89_73029	TMEM89	33
RTCA_22505	RTCA	89
GUCY1B3_8011	GUCY1B3	152
DEFB136_73615	DEFB136	29
CLDN20_37188	CLDN20	149
POLM_36131	POLM	43
FAM210B_57665	FAM210B	285
MSS51_58047	MSS51	102
FBXL22_67500	FBXL22	80
PNCK_60741	PNCK	232
PTPRE_15477	PTPRE	78
HSD17B6_22489	HSD17B6	31
CELA3B_32814	CELA3B	125
OVCH2_69301	OVCH2	22
DYNLT3_18913	DYNLT3	190
NT5DC2_48277	NT5DC2	22
TNFRSF14_22911	TNFRSF14	185
PEX6_13678	PEX6	67
LASP1_10514	LASP1	40
MS4A10_69285	MS4A10	23
PSMC3_15223	PSMC3	43
PDCD4_35883	PDCD4	59
KCNIP4_51160	KCNIP4	144
AHRR_45616	AHRR	51
KRTAP10-10_70157	KRTAP10-10	60
QPCTL_40649	QPCTL	62
ATF2_3863	ATF2	25
SHFM1_21137	SHFM1	42
PHLDA3_33313	PHLDA3	44
TAF12_18675	TAF12	144
MYO18B_54076	MYO18B	80
AIF1L_52203	AIF1L	44
HLA-G_8459	HLA-G	24
SIGLEC11_57104	SIGLEC11	124
SUPT20H_42706	SUPT20H	766
WWP1_29979	WWP1	23
IQCJ-SCHIP1_75820	IQCJ-SCHIP1	55
PSG5_15117	PSG5	222
COX4I1_3702	COX4I1	5
KRTAP9-2_52658	KRTAP9-2	88
LAMB4_30861	LAMB4	105
CFLAR_23151	CFLAR	27
SLC25A45_67216	SLC25A45	25
CD47_2709	CD47	184
ITPRIP_54958	ITPRIP	39
PDZK1IP1_27199	PDZK1IP1	75
ZNF720_58733	ZNF720	15
GBA_6929	GBA	114
CHRND_3260	CHRND	28
LIG4_10649	LIG4	30
IFI35_9182	IFI35	46
MRPS23_39221	MRPS23	112
SHE_59205	SHE	90
FAM175A_52988	FAM175A	69
ADCK2_55685	ADCK2	139
Non-Targeting Control_76811	Non-Targeting Control	185
HIST1H3J_21722	HIST1H3J	54
FAM167B_54129	FAM167B	37
PRDX3_29590	PRDX3	66
PLD1_14138	PLD1	12
AEN_48045	AEN	148
PCDH9_13410	PCDH9	30
SPATC1_70533	SPATC1	92
GPR32_7593	GPR32	81
Non-Targeting Control_76655	Non-Targeting Control	312
ACSM4_69320	ACSM4	107
C8orf88_75144	C8orf88	195
MT1X_11835	MT1X	89
SCGB1C1_61760	SCGB1C1	25
BMP8B_1797	BMP8B	26
RFWD2_47631	RFWD2	154
APBA1_882	APBA1	30
TTC29_52640	TTC29	24
MAP1LC3B_51847	MAP1LC3B	113
ANKRD13A_55071	ANKRD13A	69
FAM188A_50599	FAM188A	71
NRTN_12861	NRTN	63
Non-Targeting Control_77285	Non-Targeting Control	324
ESAM_55680	ESAM	63
LRWD1_65969	LRWD1	15
C19orf44_53038	C19orf44	34
ADRBK1_433	ADRBK1	34
SH3D19_62671	SH3D19	113
Non-Targeting Control_76601	Non-Targeting Control	261
C10orf2_44323	C10orf2	4
MEST_11384	MEST	168
PCDH9_13411	PCDH9	45
BMP7_1796	BMP7	11
CROCC_25646	CROCC	94
TMEM175_53353	TMEM175	27
PAX8_20991	PAX8	112
NFKBIA_12547	NFKBIA	17
ZNF285_35346	ZNF285	108
GAPT_64991	GAPT	79
MYH2_12028	MYH2	52
SPATS2L_34332	SPATS2L	53
NKX6-2_53702	NKX6-2	85
OMA1_57438	OMA1	91
CCDC38_58307	CCDC38	20
TCERG1L_66783	TCERG1L	70
LRRC3C_75837	LRRC3C	92
FAM179A_63824	FAM179A	112
CASP6_2352	CASP6	88
SPRY4_51956	SPRY4	404
BEX5_69201	BEX5	61
OR9K2_73185	OR9K2	123
TSNAX_19652	TSNAX	11
ARSA_1194	ARSA	181
GPR19_7550	GPR19	49
B3GAT2_60335	B3GAT2	130
CT45A10_76404	CT45A10	190
OAT_12969	OAT	48
UNCX_69126	UNCX	99
SPATA31D1_71475	SPATA31D1	46
ZNF134_20670	ZNF134	59
FLYWCH2_57383	FLYWCH2	72
TCTEX1D4_69550	TCTEX1D4	120
GRB7_7692	GRB7	96
PRRG1_15027	PRRG1	30
CAPN5_2002	CAPN5	16
HOXA3_8637	HOXA3	116
MPDZ_22947	MPDZ	64
PPP1R1B_53006	PPP1R1B	217
Non-Targeting Control_76590	Non-Targeting Control	531
OIP5_30814	OIP5	22
MAZ_11170	MAZ	110
HIF1A_8340	HIF1A	68
FBXO16_63024	FBXO16	98
SPIN2B_73345	SPIN2B	156
SOX18_39861	SOX18	63
PCYT1A_13478	PCYT1A	155
SLC26A1_29349	SLC26A1	55
ZNF362_62123	ZNF362	56
ZNF878_74973	ZNF878	38
SLC4A5_46473	SLC4A5	102
KDELR2_29850	KDELR2	104
ACKR2_3469	ACKR2	139
RNF31_41483	RNF31	93
FAM189A1_32570	FAM189A1	39
Non-Targeting Control_76524	Non-Targeting Control	422
ZNF160_55422	ZNF160	33
INAFM2_75830	INAFM2	184
RAB31_29905	RAB31	114
TMEM182_59880	TMEM182	67
CYB5B_51355	CYB5B	109
TAAR5_23657	TAAR5	52
C4BPA_1994	C4BPA	101
PYROXD2_54191	PYROXD2	156
PLA2G1B_14071	PLA2G1B	40
TRMT11_46892	TRMT11	51
KRTAP2-3_75074	KRTAP2-3	65
Non-Targeting Control_76780	Non-Targeting Control	448
Non-Targeting Control_77238	Non-Targeting Control	296
SLC2A14_61290	SLC2A14	152
SPRYD7_45290	SPRYD7	72
SRPX_21854	SRPX	195
OR52B4_61187	OR52B4	177
MAMDC2_66799	MAMDC2	43
PFN4_70441	PFN4	139
FAM3B_39763	FAM3B	60
CELA2B_37606	CELA2B	48
RAB8A_11360	RAB8A	176
RPS4Y1_16504	RPS4Y1	78
ZBTB10_48548	ZBTB10	15
CALR_2242	CALR	199
GPR34_7601	GPR34	65
Non-Targeting Control_76848	Non-Targeting Control	469
BCAP29_43816	BCAP29	30
FLI1_6442	FLI1	29
INAFM1_66662	INAFM1	105
AMDHD1_61287	AMDHD1	58
MAGEB18_68471	MAGEB18	273
FRYL_68188	FRYL	58
PIAS4_39087	PIAS4	93
APH1B_52149	APH1B	120
GLT8D1_43513	GLT8D1	21
OR2T34_59289	OR2T34	67
NFX1_12570	NFX1	80
PDK3_13611	PDK3	149
CD53_2720	CD53	57
OR2Y1_60207	OR2Y1	105
XPO7_31550	XPO7	41
STIM2_46044	STIM2	38
PLA2G2E_37077	PLA2G2E	139
ZNF425_62963	ZNF425	31
KDELC2_61243	KDELC2	76
YOD1_42507	YOD1	38
Non-Targeting Control_76776	Non-Targeting Control	233
PDLIM3_35960	PDLIM3	35
PROL1_46614	PROL1	86
C19orf38_66671	C19orf38	37
HTRA3_56650	HTRA3	87
DEFB127_61021	DEFB127	234
MAGEB5_69849	MAGEB5	128
ARHGAP18_56595	ARHGAP18	103
PMAIP1_14244	PMAIP1	1075
CXCL2_7821	CXCL2	64
TRAPPC3L_75156	TRAPPC3L	34
Non-Targeting Control_76442	Non-Targeting Control	332
FAM222B_43175	FAM222B	36
UGT1A1_40359	UGT1A1	143
ADAMTS18_64221	ADAMTS18	103
DUSP15_59618	DUSP15	117
M1AP_59897	M1AP	31
TXNRD2_28588	TXNRD2	36
RIPPLY1_56123	RIPPLY1	87
NDRG2_45467	NDRG2	53
STX1A_18438	STX1A	30
PRF1_14736	PRF1	35
CYYR1_57673	CYYR1	36
LOC388813_71197	LOC388813	157
C14orf132_44734	C14orf132	67
ECI1_4565	ECI1	114
VAMP4_22647	VAMP4	101
BPIFA2_60878	BPIFA2	64
NOSTRIN_57531	NOSTRIN	136
ZMYM2_20802	ZMYM2	108
MUCL1_58018	MUCL1	53
DHRS4L1_74745	DHRS4L1	118
OPRM1_13067	OPRM1	134
CCDC153_67225	CCDC153	33
PEX14_13698	PEX14	141
EXOG_26509	EXOG	24
BTN3A2_30167	BTN3A2	108
APOB_954	APOB	55
TMOD4_36589	TMOD4	116
CASZ1_40928	CASZ1	87
Non-Targeting Control_76686	Non-Targeting Control	321
MYOM1_22833	MYOM1	82
FAM53C_38443	FAM53C	43
GSTM1_7892	GSTM1	235
GLP1R_7240	GLP1R	35
TBC1D21_63444	TBC1D21	109
CCDC155_61884	CCDC155	40
SOX4_17981	SOX4	130
ECT2L_69718	ECT2L	1
SMIM24_67854	SMIM24	34
CEP104_25776	CEP104	242
SPANXN4_73164	SPANXN4	273
HIST1H2BH_21679	HIST1H2BH	62
NBR1_10934	NBR1	89
KDELC1_48850	KDELC1	119
IL1RAPL1_30245	IL1RAPL1	268
IDS_9163	IDS	90
USP9Y_21506	USP9Y	119
MAPK15_66097	MAPK15	43
ANKH_44104	ANKH	105
WFDC13_63763	WFDC13	199
MLXIPL_37743	MLXIPL	89
DUSP9_5176	DUSP9	202
SOWAHB_69663	SOWAHB	84
TNNC2_19361	TNNC2	32
Non-Targeting Control_76540	Non-Targeting Control	396
PGM2L1_67254	PGM2L1	41
ACTR6_47796	ACTR6	64
KDM7A_51442	KDM7A	100
RHCE_16130	RHCE	252
CRYBA4_3955	CRYBA4	73
MPV17L_66548	MPV17L	71
RPA4_36831	RPA4	75
PPP2R2D_43552	PPP2R2D	44
Non-Targeting Control_77258	Non-Targeting Control	251
FAM188B_53068	FAM188B	38
FAM129A_57784	FAM129A	24
GAP43_6869	GAP43	117
C7orf34_60382	C7orf34	60
ULBP2_51144	ULBP2	61
SCN11A_30692	SCN11A	13
POMK_53106	POMK	105
TXNDC15_49894	TXNDC15	111
Non-Targeting Control_76871	Non-Targeting Control	394
TOP1_19440	TOP1	118
CSTF2T_32333	CSTF2T	42
FAM9A_64291	FAM9A	47
GSK3A_7850	GSK3A	37
L1CAM_10436	L1CAM	162
HSF2BP_30047	HSF2BP	52
ANKS4B_66921	ANKS4B	93
PTCH1_15310	PTCH1	37
TMEM101_53527	TMEM101	39
WFDC11_66958	WFDC11	97
COL18A1_51365	COL18A1	67
DYNC1H1_4920	DYNC1H1	114
SRSF5_17208	SRSF5	35
OR2L13_67907	OR2L13	36
KLK1_10211	KLK1	58
CHAMP1_67394	CHAMP1	88
ACAD11_52954	ACAD11	88
TENM3_43122	TENM3	234
Non-Targeting Control_77162	Non-Targeting Control	135
OR4N4_67469	OR4N4	79
Non-Targeting Control_77367	Non-Targeting Control	551
RAB5B_15666	RAB5B	63
GNAT3_69753	GNAT3	89
EPAS1_5619	EPAS1	121
ZNF726_75036	ZNF726	114
HAS2_8179	HAS2	44
C3_1977	C3	101
CDKN2C_2946	CDKN2C	86
NYX_46934	NYX	230
ST7_21147	ST7	45
Non-Targeting Control_76919	Non-Targeting Control	267
SMIM10_73934	SMIM10	162
RAP2C_46449	RAP2C	72
KLRF2_75773	KLRF2	89
TAS2R43_66990	TAS2R43	59
UMOD_19980	UMOD	113
GABRA3_6746	GABRA3	240
TUSC2_30791	TUSC2	32
COX4I1_3701	COX4I1	15
CXCL14_25178	CXCL14	132
Non-Targeting Control_76959	Non-Targeting Control	423
TSSC4_26931	TSSC4	41
IPPK_47998	IPPK	49
HPS3_53545	HPS3	59
HIST1H1A_8137	HIST1H1A	49
UBE2R2_41018	UBE2R2	131
LOC102723859_76410	LOC102723859	390
CTSK_4259	CTSK	55
USP17L21_75635	USP17L21	113
JUP_9927	JUP	115
CASC3_30844	CASC3	47
RPS6KA2_16520	RPS6KA2	19
ZNF709_63618	ZNF709	33
Non-Targeting Control_76853	Non-Targeting Control	311
PCDHB3_43993	PCDHB3	10
ZNF559-ZNF177_76110	ZNF559-ZNF177	22
ZNF491_59024	ZNF491	64
MYCBP_34973	MYCBP	46
SEC31A_31064	SEC31A	122
CAPN13_56181	CAPN13	34
EPX_21509	EPX	85
CCM2L_60924	CCM2L	31
FAM43A_59972	FAM43A	74
OR10A2_69297	OR10A2	283
EYA3_5925	EYA3	186
PCGF3_27797	PCGF3	151
COBLL1_30951	COBLL1	41
Non-Targeting Control_76985	Non-Targeting Control	366
MYL1_12061	MYL1	95
LARP1B_41670	LARP1B	12
RNF138_38782	RNF138	81
PACS1_43040	PACS1	35
CR1L_3837	CR1L	50
SDC3_25564	SDC3	158
NLRP9_68699	NLRP9	78
OR11G2_71792	OR11G2	113
NPRL2_28768	NPRL2	105
GAB3_60738	GAB3	78
Non-Targeting Control_76835	Non-Targeting Control	486
IL15_9523	IL15	62
SPATA18_60082	SPATA18	11
KIAA1522_46122	KIAA1522	30
PAX8_20992	PAX8	25
ITGA11_30870	ITGA11	10
GDNF-AS1_76234	GDNF-AS1	66
UCMA_65665	UCMA	28
DNAJC1_47531	DNAJC1	167
ALAS2_588	ALAS2	50
CDC42SE2_44787	CDC42SE2	42
OR6C70_71768	OR6C70	188
SLC7A14_46296	SLC7A14	208
OR5AR1_65298	OR5AR1	250
TTLL5_31707	TTLL5	23
ADK_362	ADK	80
ZCCHC10_40662	ZCCHC10	211
ARSH_69848	ARSH	251
GPATCH1_41548	GPATCH1	20
C9orf69_55305	C9orf69	159
PRB3_14710	PRB3	183
TYW1B_73082	TYW1B	83
SLC20A2_17684	SLC20A2	246
B4GALT7_30714	B4GALT7	84
BRCA2_1871	BRCA2	17
CPPED1_42285	CPPED1	112
CAND1_43519	CAND1	40
SLC16A13_64854	SLC16A13	42
HOXA7_8655	HOXA7	36
RSPH3_52553	RSPH3	55
ZFP92_60747	ZFP92	240
APOBEC1_959	APOBEC1	19
GBP7_71129	GBP7	32
ANKRD20A3_73116	ANKRD20A3	19
ZNF493_67880	ZNF493	51
FGF6_6253	FGF6	61
CAMKK1_53234	CAMKK1	49
MAGED4B_51683	MAGED4B	55
SERBP1_34633	SERBP1	37
IL1R2_20994	IL1R2	17
MYEOV_35191	MYEOV	45
MSL1_68893	MSL1	9
SCUBE2_46369	SCUBE2	98
MDFIC_36941	MDFIC	75
AAR2_34257	AAR2	102
LOC100507462_75970	LOC100507462	152
MYH11_12057	MYH11	155
MDFI_11270	MDFI	268
PNMA3_36857	PNMA3	137
CNOT4_12720	CNOT4	493
SSSCA1_28402	SSSCA1	112
MED19_65314	MED19	21
AIFM3_62273	AIFM3	68
FEZF2_41500	FEZF2	77
SMS_17801	SMS	22
RRBP1_16637	RRBP1	33
DNAJB4_30060	DNAJB4	267
TNKS2_51209	TNKS2	91
PSG3_15112	PSG3	156
CCRN4L_33800	CCRN4L	100
SNAI2_17736	SNAI2	88
ZNF705G_75414	ZNF705G	45
KRT39_71854	KRT39	86
TUSC1_68426	TUSC1	79
ATOH7_65588	ATOH7	95
CLIP3_34300	CLIP3	53
LRRC69_75313	LRRC69	67
Non-Targeting Control_77078	Non-Targeting Control	210
Non-Targeting Control_76481	Non-Targeting Control	584
C9orf40_41479	C9orf40	222
GPATCH3_47112	GPATCH3	100
Non-Targeting Control_76831	Non-Targeting Control	405
HNRNPM_12183	HNRNPM	26
KCNN3_10112	KCNN3	32
SMKR1_75638	SMKR1	41
C8orf88_75146	C8orf88	70
ACVR1C_59805	ACVR1C	18
HEXIM2_58817	HEXIM2	20
NR5A1_6621	NR5A1	174
ZNF324_33739	ZNF324	152
Non-Targeting Control_76925	Non-Targeting Control	282
ZNF264_24790	ZNF264	68
SSR1_18257	SSR1	22
GMCL1_47697	GMCL1	36
PABPC1L2A_69195	PABPC1L2A	56
NXNL2_63099	NXNL2	56
DCAF4L1_68156	DCAF4L1	19
CCDC68_51128	CCDC68	136
FBXO38_51651	FBXO38	134
TAL2_18692	TAL2	55
NANOS2_68921	NANOS2	129
CDC42BPG_42670	CDC42BPG	53
CISD2_73392	CISD2	38
RBPJ_9351	RBPJ	5
FOXK1_65922	FOXK1	29
FAM26E_66433	FAM26E	112
TAF4_18638	TAF4	231
OTOP2_56330	OTOP2	31
DPYSL4_28530	DPYSL4	25
PNLIPRP2_14304	PNLIPRP2	73
IL4_9418	IL4	106
HHATL_45535	HHATL	34
WBP2_33169	WBP2	93
PLA2G4E_58645	PLA2G4E	55
TGM6_69565	TGM6	50
TBC1D5_25946	TBC1D5	91
NUP153_26611	NUP153	130
FBXW2_34737	FBXW2	84
CHRM4_3209	CHRM4	43
ATP5S_35589	ATP5S	59
MEN1_11364	MEN1	73
SLC22A17_38457	SLC22A17	85
STKLD1_64071	STKLD1	91
PIK3IP1_57055	PIK3IP1	84
ZNF221_20624	ZNF221	44
MEF2A_11313	MEF2A	84
TGFBR3L_75978	TGFBR3L	71
NPAP1_33508	NPAP1	31
LYAR_42903	LYAR	25
NAP1L2_12195	NAP1L2	114
CCDC6_21202	CCDC6	346
GAA_6720	GAA	67
CD101_24710	CD101	41
GAB3_60737	GAB3	173
HLA-A_8378	HLA-A	71
C1GALT1C1_36385	C1GALT1C1	54
MST1L_30516	MST1L	50
ANGPTL4_37904	ANGPTL4	29
CKS1B_3309	CKS1B	171
ZNF345_33901	ZNF345	41
COG8_53539	COG8	21
SPTAN1_18140	SPTAN1	90
NXNL1_57585	NXNL1	77
Non-Targeting Control_77288	Non-Targeting Control	67
ZNF423_31697	ZNF423	95
IZUMO1R_71717	IZUMO1R	110
POFUT2_32314	POFUT2	368
HMGB3_8486	HMGB3	187
EPB41L3_31831	EPB41L3	55
GRINA_7774	GRINA	100
C4orf22_66570	C4orf22	147
ISCU_32916	ISCU	29
GALNT16_45486	GALNT16	66
AURKC_18428	AURKC	13
EDA2R_46856	EDA2R	261
IL7_9448	IL7	73
FIBCD1_54511	FIBCD1	10
TLL1_19259	TLL1	120
NLK_39327	NLK	47
PLA2G4D_67488	PLA2G4D	117
TOR2A_36128	TOR2A	66
Non-Targeting Control_76657	Non-Targeting Control	729
DACH1_4475	DACH1	27
C19orf18_61817	C19orf18	49
IFITM2_28572	IFITM2	128
CXorf65_63233	CXorf65	96
KIAA0513_25893	KIAA0513	18
NPAS3_47291	NPAS3	44
CRISPLD2_52416	CRISPLD2	22
FAM20C_44746	FAM20C	124
ADM_366	ADM	53
CCND2_2490	CCND2	150
Non-Targeting Control_76908	Non-Targeting Control	308
LTBP4_21894	LTBP4	57
PDK4_13615	PDK4	146
ECHDC3_49829	ECHDC3	18
C1orf198_54370	C1orf198	41
MTTP_11892	MTTP	66
KCNK3_10091	KCNK3	15
ANKRD17_34475	ANKRD17	50
ORMDL3_56690	ORMDL3	111
