sgRNA	Gene	Clip2_5_DE_GFP_low_BC18_IGO_09496_10_S10
USH1C_26945	USH1C	122
FAM151B_63962	FAM151B	32
Non-Targeting Control_77394	Non-Targeting Control	366
OSBPL7_57305	OSBPL7	69
VPS36_37588	VPS36	28
FABP9_74095	FABP9	93
LDOC1L_53208	LDOC1L	157
SSX4B_73519	SSX4B	66
HDAC7_39045	HDAC7	29
RBBP9_29038	RBBP9	244
Non-Targeting Control_76839	Non-Targeting Control	162
LZTR1_21417	LZTR1	35
ABLIM3_31115	ABLIM3	86
CDKN2A_2937	CDKN2A	111
TXNDC9_27295	TXNDC9	98
CYP27A1_4455	CYP27A1	10
ANGPTL6_52527	ANGPTL6	19
KDELR3_29854	KDELR3	39
WNT8B_20289	WNT8B	109
NXPE3_56001	NXPE3	107
SLC22A24_67284	SLC22A24	44
PPP1R3F_55138	PPP1R3F	88
ERI1_55484	ERI1	30
GIPC3_59120	GIPC3	64
IFRD1_9284	IFRD1	73
MRPL11_48338	MRPL11	15
WDR54_52791	WDR54	80
TM9SF1_28442	TM9SF1	29
TBKBP1_25865	TBKBP1	129
SH3GL2_17292	SH3GL2	18
HSD17B10_8145	HSD17B10	112
NEK4_18399	NEK4	63
PLBD2_64421	PLBD2	15
POPDC3_47519	POPDC3	36
BEX4_44205	BEX4	92
OSTM1_36227	OSTM1	80
GTF2A1_7922	GTF2A1	35
THSD4_50227	THSD4	92
TBPL2_70753	TBPL2	44
FLOT2_6465	FLOT2	49
MFSD2A_54352	MFSD2A	25
DZIP1_31067	DZIP1	18
Non-Targeting Control_77095	Non-Targeting Control	545
PRAMEF4_72254	PRAMEF4	112
KCTD19_61544	KCTD19	62
SGTB_40243	SGTB	70
WEE2_73452	WEE2	92
SLC39A13_55774	SLC39A13	124
KRTAP24-1_73839	KRTAP24-1	61
NDUFS3_12369	NDUFS3	81
TBKBP1_25867	TBKBP1	31
OR4L1_58521	OR4L1	131
B4GALNT1_6827	B4GALNT1	13
LRP11_54476	LRP11	146
STXBP2_18460	STXBP2	53
CELA2A_47042	CELA2A	69
WDR19_46351	WDR19	80
FLT3_6473	FLT3	144
FZR1_38565	FZR1	90
PRKCQ_14860	PRKCQ	56
ID3_9127	ID3	58
ZNF311_67156	ZNF311	25
C2orf78_71230	C2orf78	65
SNX11_36775	SNX11	202
C14orf159_50609	C14orf159	81
SPATS2_48469	SPATS2	9
UBL4B_63757	UBL4B	82
SRPX_21853	SRPX	72
PPP1R16B_34455	PPP1R16B	108
Non-Targeting Control_76944	Non-Targeting Control	247
Non-Targeting Control_76712	Non-Targeting Control	155
KBTBD12_63877	KBTBD12	56
Non-Targeting Control_77206	Non-Targeting Control	352
Non-Targeting Control_76595	Non-Targeting Control	582
MTMR8_42795	MTMR8	59
AOAH_860	AOAH	115
HAO1_39878	HAO1	13
ABCC9_26874	ABCC9	43
MOB3A_59109	MOB3A	69
LACE1_66217	LACE1	92
NRN1L_58674	NRN1L	30
ARFIP2_33413	ARFIP2	26
AEN_48045	AEN	168
PLCL1_14127	PLCL1	76
PCDH7_13404	PCDH7	14
HSPB11_39274	HSPB11	103
Non-Targeting Control_77378	Non-Targeting Control	448
DNAAF2_41800	DNAAF2	34
SPEF2_50378	SPEF2	10
CYP2B6_4364	CYP2B6	117
TOMM20L_70914	TOMM20L	53
PRR20B_74854	PRR20B	31
KREMEN2_49211	KREMEN2	21
BRICD5_67521	BRICD5	143
PHF21B_56887	PHF21B	114
ACAA2_28116	ACAA2	43
UMOD_19977	UMOD	103
OR1Q1_63117	OR1Q1	88
Non-Targeting Control_77148	Non-Targeting Control	191
LAMC2_10497	LAMC2	75
FKBP5_6368	FKBP5	50
SLAMF7_46439	SLAMF7	45
GFPT2_26522	GFPT2	40
SLC9B1_62264	SLC9B1	104
PPP1R14C_51889	PPP1R14C	32
OVCH1_69309	OVCH1	109
F2RL1_5946	F2RL1	25
COL23A1_55867	COL23A1	16
ARPIN_69919	ARPIN	140
PRDM4_30150	PRDM4	47
OR13C3_60622	OR13C3	244
CSF2RB_4026	CSF2RB	67
A2M_8	A2M	31
UBFD1_43865	UBFD1	20
EIF2AK1_35578	EIF2AK1	51
ZBED1_24137	ZBED1	28
