sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
SAMD4B_41551	SAMD4B	93
Non-Targeting Control_77142	Non-Targeting Control	424
PLEKHB2_41413	PLEKHB2	178
OGFR_29965	OGFR	150
LHX8_72818	LHX8	82
RASA2_15862	RASA2	189
USP25_36580	USP25	77
SNF8_30647	SNF8	178
SCN3A_16891	SCN3A	144
11-Sep_43252	11-Sep	181
NGEF_33712	NGEF	449
MGAT1_11424	MGAT1	116
CENPH_48282	CENPH	283
NR0B2_21906	NR0B2	78
CTSB_4237	CTSB	230
TEF_18968	TEF	62
ZNF518A_26179	ZNF518A	108
WDR37_31112	WDR37	84
ZNF148_20719	ZNF148	49
RBM12_27128	RBM12	157
Non-Targeting Control_76815	Non-Targeting Control	392
PDK4_13613	PDK4	167
INTS6_35098	INTS6	48
HSD17B6_22490	HSD17B6	88
TMEM214_40823	TMEM214	129
GPR52_24416	GPR52	99
CDH9_2863	CDH9	130
GPR146_57463	GPR146	66
TIMP4_19215	TIMP4	58
TCF19_18861	TCF19	98
Non-Targeting Control_76659	Non-Targeting Control	896
MTMR10_40922	MTMR10	191
PRAMEF1_48437	PRAMEF1	125
GNA14_25413	GNA14	248
WNT10B_20296	WNT10B	107
PLA1A_38604	PLA1A	62
ZNF554_57426	ZNF554	31
Non-Targeting Control_77203	Non-Targeting Control	664
ZNF286B_74883	ZNF286B	163
OR4K14_58517	OR4K14	186
LRRC14B_71344	LRRC14B	224
MPDU1_25107	MPDU1	149
ERGIC3_39143	ERGIC3	159
PKIG_30250	PKIG	157
CYS1_64337	CYS1	326
ATG2B_41570	ATG2B	48
MAP4K1_30409	MAP4K1	154
Non-Targeting Control_77032	Non-Targeting Control	564
SOS2_17966	SOS2	214
OR10A3_35056	OR10A3	65
MGMT_11454	MGMT	237
Non-Targeting Control_77170	Non-Targeting Control	593
NUP160_32326	NUP160	53
GPR52_24413	GPR52	201
TPSAB1_19525	TPSAB1	154
MYOM2_24086	MYOM2	93
CDKL1_23068	CDKL1	137
HERC2_23409	HERC2	132
RAB14_39013	RAB14	106
HGFAC_8321	HGFAC	173
ZNF596_64063	ZNF596	151
TLR4_19287	TLR4	32
ST20_72202	ST20	125
ROBO3_47554	ROBO3	180
INPP4B_23093	INPP4B	97
TRMT10B_63135	TRMT10B	126
GPHN_27492	GPHN	140
NKX1-2_71537	NKX1-2	28
PCBD1_13376	PCBD1	133
KIRREL_42053	KIRREL	98
PRPSAP2_15021	PRPSAP2	62
CAPN8_71177	CAPN8	82
HCRTR2_8253	HCRTR2	276
TMEM158_34051	TMEM158	354
VAV1_20089	VAV1	262
FCRL4_52079	FCRL4	47
PUS3_52172	PUS3	106
HID1_67568	HID1	27
Non-Targeting Control_77332	Non-Targeting Control	476
CRYGB_3976	CRYGB	130
GRK7_59997	GRK7	89
Non-Targeting Control_76835	Non-Targeting Control	705
ERAP1_39433	ERAP1	254
RALYL_60542	RALYL	42
ZNF385D_49840	ZNF385D	140
FITM1_63405	FITM1	146
POMT2_36895	POMT2	94
OR52E6_71600	OR52E6	188
HIST2H2BF_72987	HIST2H2BF	209
TMEM127_42930	TMEM127	196
CORIN_28943	CORIN	185
MAGEA4_11009	MAGEA4	393
REEP3_65659	REEP3	72
TMEM251_34723	TMEM251	83
OR2A1_69752	OR2A1	285
ADPGK_52087	ADPGK	83
UPRT_60724	UPRT	167
SYCE1_56513	SYCE1	204
JKAMP_38952	JKAMP	258
FOXR1_67222	FOXR1	111
