sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
SH2D4A_47094	SH2D4A	48
FMN2_44409	FMN2	77
SLC20A2_17683	SLC20A2	63
RARG_15839	RARG	64
RANBP2_15794	RANBP2	103
CST9_59610	CST9	255
MRAP_44146	MRAP	146
KCNV1_35402	KCNV1	144
DPY19L4_68376	DPY19L4	56
SLC16A12_70809	SLC16A12	191
QPCT_33732	QPCT	54
TPRX1_67784	TPRX1	321
STXBP3_18463	STXBP3	93
SRXN1_60991	SRXN1	182
CHRDL2_33979	CHRDL2	245
RWDD2B_26902	RWDD2B	408
RGR_16087	RGR	207
DAB1_4468	DAB1	273
LCTL_64485	LCTL	127
C11orf44_67241	C11orf44	35
RHOXF2_53754	RHOXF2	178
SMPDL3B_35954	SMPDL3B	44
GBX2_6958	GBX2	123
LOC100506422_75897	LOC100506422	169
NEK9_55994	NEK9	337
KLF7_22431	KLF7	147
PDE8B_22467	PDE8B	326
BTNL9_62808	BTNL9	203
SRSF5_17206	SRSF5	120
HLA-DQB1_8426	HLA-DQB1	642
LENEP_43670	LENEP	38
FAM163B_73731	FAM163B	145
C1QTNF4_57339	C1QTNF4	214
RALGAPB_45123	RALGAPB	103
OR1D2_13074	OR1D2	96
NBPF6_74257	NBPF6	67
ZNF799_55536	ZNF799	166
PCIF1_47185	PCIF1	250
IL1RAP_9388	IL1RAP	57
SLC25A53_72494	SLC25A53	354
EMC4_38206	EMC4	30
FGFR1OP2_34618	FGFR1OP2	217
DIRAS1_61992	DIRAS1	86
ERVMER34-1_75673	ERVMER34-1	173
HLA-DRB5_8444	HLA-DRB5	96
CAMP_2273	CAMP	100
FOXF2_6377	FOXF2	218
PIGN_33159	PIGN	90
XPO7_31550	XPO7	12
LCN2_10537	LCN2	66
PEX14_13699	PEX14	153
TEX37_64725	TEX37	104
IZUMO1R_71719	IZUMO1R	355
ZNF324_33739	ZNF324	204
GLI3_7228	GLI3	63
CLLU1_73587	CLLU1	96
CYB561D2_30018	CYB561D2	106
GXYLT2_74521	GXYLT2	60
HOXC8_8726	HOXC8	160
LCK_10530	LCK	146
SNTN_60035	SNTN	15
HNRNPM_12181	HNRNPM	157
JOSD2_59038	JOSD2	186
THSD4_50230	THSD4	59
ATF7IP2_50673	ATF7IP2	211
Non-Targeting Control_77321	Non-Targeting Control	277
MMP15_11629	MMP15	129
CBX8_45351	CBX8	121
AMHR2_734	AMHR2	212
MAEL_54565	MAEL	175
WDR89_56869	WDR89	35
GPRIN3_68176	GPRIN3	89
KIAA1191_45213	KIAA1191	138
PRSS2_15041	PRSS2	60
HMX1_8535	HMX1	58
MEP1A_11374	MEP1A	243
ZCCHC11_32446	ZCCHC11	79
KBTBD7_52872	KBTBD7	89
KLC3_61840	KLC3	22
TIMM10B_35099	TIMM10B	168
TMEM158_34054	TMEM158	141
ZNF429_70041	ZNF429	63
ZNF599_61946	ZNF599	316
IGSF3_8971	IGSF3	113
DDX43_42580	DDX43	84
KLHL36_49939	KLHL36	59
PTCH1_15309	PTCH1	160
ZNF486_55576	ZNF486	304
DNAH2_61651	DNAH2	150
OR1E1_21801	OR1E1	131
MAGEB18_68472	MAGEB18	413
Non-Targeting Control_77228	Non-Targeting Control	513
CYP7B1_24781	CYP7B1	139
PATE2_72161	PATE2	294
SERF2_27240	SERF2	62
FAM71B_62825	FAM71B	130
SCGB2B2_67831	SCGB2B2	157
RAB31_29906	RAB31	95
DCAF4_34556	DCAF4	68
DDX19B_30654	DDX19B	144
PDZK1_13644	PDZK1	147
GALNT8_34966	GALNT8	112
MAGEA10_11031	MAGEA10	214
TM4SF20_50159	TM4SF20	280
IFNA17_9248	IFNA17	99
S100P_16771	S100P	513
TBXA2R_18782	TBXA2R	88
PTGDR_15320	PTGDR	152
ASB2_39286	ASB2	125
CHRFAM7A_55146	CHRFAM7A	573
MB21D1_57397	MB21D1	194
EMX1_5563	EMX1	29
PXN_15589	PXN	73
OR52K2_58207	OR52K2	129
OR2D3_58280	OR2D3	48
INHBC_9610	INHBC	72
PPDPF_48998	PPDPF	61
ITGB1_9800	ITGB1	344
ACTN4_202	ACTN4	92
CSN2_4057	CSN2	57
EVA1C_46728	EVA1C	105
TMOD3_36591	TMOD3	110
BLZF1_22286	BLZF1	296
SKA3_65708	SKA3	343
VSTM2L_59551	VSTM2L	215
GPR108_44610	GPR108	193
ZMYM3_24171	ZMYM3	103
RAB35_29878	RAB35	47
SERPINI1_13921	SERPINI1	54
GTSE1_38912	GTSE1	62
LRRN3_40383	LRRN3	101
MID2_29937	MID2	213
SLC9C2_67910	SLC9C2	116
HMGCS1_8507	HMGCS1	21
ERICH6B_65556	ERICH6B	226
FAM83D_51779	FAM83D	214
RNF222_73872	RNF222	123
RAD54L2_31819	RAD54L2	172
BOLL_48622	BOLL	93
PSMB5_15186	PSMB5	44
HYAL4_33149	HYAL4	116
Non-Targeting Control_76463	Non-Targeting Control	754
HBA2_8191	HBA2	28
NPHS2_20964	NPHS2	109
GIT1_36231	GIT1	58
GABRG2_6786	GABRG2	225
C7orf66_62946	C7orf66	571
SNAPC3_17835	SNAPC3	213
ADAMTS2_25046	ADAMTS2	119
SS18_18318	SS18	131
TRAPPC6B_58484	TRAPPC6B	176
CACNA1G_23393	CACNA1G	132
SMIM18_75958	SMIM18	63
HLA-DMA_8390	HLA-DMA	56
USP54_63283	USP54	66
C20orf62_61009	C20orf62	49
TSEN34_48797	TSEN34	72
C3orf14_45451	C3orf14	214
CUEDC1_72655	CUEDC1	56
Non-Targeting Control_77059	Non-Targeting Control	736
FAM133A_68465	FAM133A	119
SLC25A52_61779	SLC25A52	137
LY6E_10879	LY6E	74
SIAH1_17340	SIAH1	219
CORO7_49326	CORO7	62
DDIT3_4622	DDIT3	56
KLRC4_21548	KLRC4	145
LRCH3_54287	LRCH3	151
MORN3_67347	MORN3	51
PCDHGA9_43915	PCDHGA9	131
HRH3_30618	HRH3	246
UCK2_19981	UCK2	52
RASL11B_48580	RASL11B	108
IQCJ-SCHIP1_75819	IQCJ-SCHIP1	141
CHCHD7_48999	CHCHD7	193
DFNA5_4728	DFNA5	47
SEMA3D_66095	SEMA3D	82
RGS14_28754	RGS14	122
OR8B2_35214	OR8B2	114
ADAMTS8_30102	ADAMTS8	94
C3orf38_68079	C3orf38	70
PPP1R8_14598	PPP1R8	47
ZP1_31225	ZP1	57
GTF2F2_7947	GTF2F2	273
Non-Targeting Control_76767	Non-Targeting Control	706
PEX16_24747	PEX16	24
ITPA_9857	ITPA	97
RGAG4_69185	RGAG4	239
TCTN2_50197	TCTN2	165
CT47A9_74536	CT47A9	77
PPP1R42_68387	PPP1R42	126
L3MBTL3_53649	L3MBTL3	116
ZNF236_20884	ZNF236	61
SCAF1_46625	SCAF1	99
AHCYL2_32640	AHCYL2	84
DSE_36840	DSE	56
PLEKHD1_72188	PLEKHD1	40
MAGEA11_11036	MAGEA11	38
TSLP_55037	TSLP	91
C17orf104_67619	C17orf104	61
MAP2K4_17159	MAP2K4	72
SPAG17_64667	SPAG17	61
RAX2_54270	RAX2	197
LCE1C_70064	LCE1C	16
TMEM191B_74601	TMEM191B	304
UQCC3_75110	UQCC3	144
EPHX3_50157	EPHX3	170
PAPOLB_44525	PAPOLB	210
MCM2_11234	MCM2	42
SLC37A2_65400	SLC37A2	102
SYN2_18570	SYN2	92
ATPAF1_47959	ATPAF1	57
LOC388436_71032	LOC388436	50
BTBD6_55316	BTBD6	170
Non-Targeting Control_77286	Non-Targeting Control	467
FAM155A_74592	FAM155A	286
SCN11A_30694	SCN11A	144
SEMG2_17147	SEMG2	89
C11orf16_44369	C11orf16	148
LOC100996693_76275	LOC100996693	191
NFASC_31774	NFASC	90
IFNA14_9237	IFNA14	195
ELFN2_57219	ELFN2	112
DLL4_40255	DLL4	145
KPNA2_10273	KPNA2	87
TKT_19233	TKT	100
NHLH2_12599	NHLH2	126
EIF2AK4_72911	EIF2AK4	103
TMEM215_72453	TMEM215	41
CYP4F12_48595	CYP4F12	169
GTF2A1L_29919	GTF2A1L	36
OR2Z1_67820	OR2Z1	58
SERHL2_66285	SERHL2	93
RCN3_45357	RCN3	84
ZNF208_20823	ZNF208	231
GPR150_68221	GPR150	248
CXCL16_46512	CXCL16	279
FGF7_6260	FGF7	103
CRIM1_38196	CRIM1	69
PSMA8_61183	PSMA8	330
Non-Targeting Control_76488	Non-Targeting Control	248
CREM_3878	CREM	34
RBMX2_39184	RBMX2	210
HDC_8270	HDC	100
BLNK_36578	BLNK	53
SLC12A9_44810	SLC12A9	141
SLC25A36_41851	SLC25A36	22
CYP3A5_4404	CYP3A5	45
INSL4_9656	INSL4	74
SGPL1_23278	SGPL1	111
B3GNT8_70381	B3GNT8	37
USP15_26567	USP15	95
GLOD5_72048	GLOD5	222
NDUFAF2_56058	NDUFAF2	147
SMCO4_44629	SMCO4	110
KCNK10_39819	KCNK10	23
PNMT_14308	PNMT	87
CNPY1_68308	CNPY1	103
CTHRC1_57591	CTHRC1	248
RNF103_20982	RNF103	128
RIMBP2_32967	RIMBP2	98
MPPED2_2055	MPPED2	51
PYGO1_34586	PYGO1	37
IL27_66242	IL27	78
RTKN_16655	RTKN	12
GRAP2_24725	GRAP2	169
DRGX_73917	DRGX	95
AKIP1_44363	AKIP1	109
FSD1_49107	FSD1	31
SMCR8_60975	SMCR8	157
TM4SF4_19307	TM4SF4	93
PRM3_46694	PRM3	91
CELA2A_47039	CELA2A	190
SPDEF_33758	SPDEF	56
B3GALT5_27730	B3GALT5	42
SLC30A7_62085	SLC30A7	134
Non-Targeting Control_77085	Non-Targeting Control	405
ASPHD2_45186	ASPHD2	28
KIAA0100_25674	KIAA0100	39
RNF150_45600	RNF150	203
PGBD5_49374	PGBD5	81
AKR7A3_31344	AKR7A3	344
ACOT9_33278	ACOT9	377
C1QTNF3_57334	C1QTNF3	34
Non-Targeting Control_77408	Non-Targeting Control	641
PTF1A_66737	PTF1A	59
FGFBP2_52615	FGFBP2	154
PEAR1_70422	PEAR1	158
COX6A2_3713	COX6A2	56
UBE3B_55236	UBE3B	61
MORN2_75015	MORN2	207
TMEM87B_54449	TMEM87B	25
C20orf144_59630	C20orf144	223
KPNA1_10268	KPNA1	255
C8orf76_54523	C8orf76	36
GBGT1_34985	GBGT1	88
CORO1A_30279	CORO1A	37
H1FOO_60047	H1FOO	62
POU2F3_33852	POU2F3	77
ACADS_106	ACADS	43
SLC25A35_72089	SLC25A35	332
FGF8_6262	FGF8	90
PHF14_25581	PHF14	206
CORO6_54554	CORO6	117
NPHP3_35434	NPHP3	77
TMEM218_65393	TMEM218	115
TRO_19593	TRO	168
UBALD2_67573	UBALD2	77
PLS3_14214	PLS3	158
SLC1A1_17426	SLC1A1	73
ZNF749_71085	ZNF749	170
PCDHB1_36819	PCDHB1	20
Non-Targeting Control_77291	Non-Targeting Control	407
KCNS3_10138	KCNS3	143
PRKCQ_14859	PRKCQ	159
CYBRD1_50314	CYBRD1	275
HCCS_8228	HCCS	415
PHF2_13860	PHF2	86
TUBG1_19732	TUBG1	196
C9orf24_54031	C9orf24	55
Non-Targeting Control_76649	Non-Targeting Control	516
GABARAPL2_30838	GABARAPL2	32
NR1I3_26604	NR1I3	121
PCDHGA10_43914	PCDHGA10	124
INHBA_9601	INHBA	155
ARHGEF26_34525	ARHGEF26	48
RTP2_69647	RTP2	164
DMRTB1_47212	DMRTB1	30
OR8B2_35211	OR8B2	137
FOXR2_60736	FOXR2	117
BTN3A1_30173	BTN3A1	162
PLEKHG1_45587	PLEKHG1	236
PCDHGA3_43935	PCDHGA3	233
PKD2L2_35461	PKD2L2	138
LSR_39108	LSR	262
ESM1_30068	ESM1	155
TLX3_37048	TLX3	189
CARD16_57158	CARD16	142
KRTAP12-2_70145	KRTAP12-2	417
FLYWCH1_53240	FLYWCH1	116
TBC1D15_48061	TBC1D15	91
HACD1_24160	HACD1	159
GABRB3_6769	GABRB3	146
Non-Targeting Control_77307	Non-Targeting Control	470
ZNF705B_75435	ZNF705B	146
MOCS1_11670	MOCS1	104
PDXK_22343	PDXK	42
SIX3_17395	SIX3	41
SYTL4_56709	SYTL4	172
NGRN_38539	NGRN	60
C16orf95_75904	C16orf95	214
SOS2_17965	SOS2	132
IBSP_9086	IBSP	425
CYP27B1_4458	CYP27B1	76
LZTS3_25890	LZTS3	93
PFDN4_13726	PFDN4	329
ANGPT2_789	ANGPT2	167
EVI5_20955	EVI5	274
EPSTI1_56745	EPSTI1	49
HDAC7_39046	HDAC7	90
ANK1_795	ANK1	94
ZDHHC2_38121	ZDHHC2	228
HNRNPF_8595	HNRNPF	140
PPM1J_68587	PPM1J	166
PAX8_20992	PAX8	64
CLEC1B_38296	CLEC1B	65
NUPL1_26074	NUPL1	31
ITGA5_9762	ITGA5	155
ARHGAP26_31704	ARHGAP26	81
UPP1_20006	UPP1	149
NUP88_12938	NUP88	17
HHLA2_30271	HHLA2	78
LINGO4_68935	LINGO4	154
RAP1GAP_15812	RAP1GAP	91
ZNF280B_61056	ZNF280B	175
KRT81_10405	KRT81	335
OR5B17_65477	OR5B17	85
TIMM8A_4721	TIMM8A	122
NME8_38474	NME8	204
SLC38A3_29779	SLC38A3	48
ISPD_75005	ISPD	117
EBF4_45960	EBF4	84
MAGEB5_69852	MAGEB5	205
TREM1_39827	TREM1	54
FAM132B_62445	FAM132B	69
SERPINB7_22749	SERPINB7	28
DAW1_63797	DAW1	53
ALAS1_581	ALAS1	71
PLIN2_332	PLIN2	48
ZIC1_20443	ZIC1	292
RAB39A_40455	RAB39A	132
ZNF568_70380	ZNF568	260
ZNF713_69997	ZNF713	152
IVD_9888	IVD	147
CARM1_28297	CARM1	106
XAB2_44680	XAB2	12
APOBEC3H_63791	APOBEC3H	91
TPTE2_56535	TPTE2	214
TCEAL2_60848	TCEAL2	141
HAO2_38057	HAO2	59
OPN1MW_7013	OPN1MW	288
PPDPF_48996	PPDPF	40
PRR11_43324	PRR11	137
ZNF256_27252	ZNF256	53
GPR137C_67410	GPR137C	145
ANXA1_824	ANXA1	66
CXorf38_63262	CXorf38	233
CD55_4481	CD55	105
RNASEH2A_28406	RNASEH2A	56
LDAH_46942	LDAH	160
SPINK8_74082	SPINK8	120
CCNE1_2500	CCNE1	180
COX5A_24659	COX5A	61
PGM5_13825	PGM5	113
THAP5_64012	THAP5	119
MLC1_32084	MLC1	95
STC2_22445	STC2	136
THBS2_19142	THBS2	86
NDUFA13_37723	NDUFA13	87
METTL21A_62454	METTL21A	79
FAM174B_72208	FAM174B	31
ANKRD36B_46355	ANKRD36B	65
SPACA1_51937	SPACA1	53
Non-Targeting Control_77022	Non-Targeting Control	636
RNF146_51954	RNF146	127
RPS6KA3_16522	RPS6KA3	438
FAM117B_62409	FAM117B	55
MAGEE2_60725	MAGEE2	463
PTPRC_15468	PTPRC	36
TFRC_19066	TFRC	58
CNPPD1_35404	CNPPD1	34
IFI27_9177	IFI27	187
CTNND1_4220	CTNND1	120
LSG1_42390	LSG1	16
IRX4_37335	IRX4	65
EEF1E1_25089	EEF1E1	70
SLCO5A1_51921	SLCO5A1	18
C12orf49_49962	C12orf49	124
RAB37_68576	RAB37	52
GLRB_7251	GLRB	30
ZNF507_30985	ZNF507	162
WDR45_30283	WDR45	77
RAET1G_70047	RAET1G	99
DOCK6_45886	DOCK6	67
GPR65_22045	GPR65	80
TMED7-TICAM2_75742	TMED7-TICAM2	150
ATP1A4_1348	ATP1A4	94
YTHDF1_40984	YTHDF1	138
ZNF827_62667	ZNF827	225
APC2_27677	APC2	357
HSFY2_63276	HSFY2	85
LEPROTL1_32933	LEPROTL1	236
SEC16B_55181	SEC16B	171
RSPH14_35708	RSPH14	62
CAMK2N2_56656	CAMK2N2	106
TSPAN17_34876	TSPAN17	30
TBC1D14_45751	TBC1D14	72
FKBP11_38429	FKBP11	168
AMELY_723	AMELY	131
CYP2A7_4349	CYP2A7	88
B3GALT6_59229	B3GALT6	120
C19orf25_61984	C19orf25	55
GYPA_8036	GYPA	171
LOC730159_75052	LOC730159	344
CCSER2_39976	CCSER2	51
ZNF680_69122	ZNF680	32
TUB_19712	TUB	75
OR51A4_72506	OR51A4	167
KCNQ4_23968	KCNQ4	102
TAF6L_28725	TAF6L	578
LBX1_28837	LBX1	96
MFSD6L_63507	MFSD6L	105
NPTXR_32879	NPTXR	104
FAM19A1_72706	FAM19A1	213
PIM1_13977	PIM1	97
FAM214A_44120	FAM214A	101
SLC2A8_36982	SLC2A8	51
GALNT10_42682	GALNT10	30
RASL10B_55907	RASL10B	284
C10orf120_72128	C10orf120	83
TTC9B_61935	TTC9B	62
LUZP6_75089	LUZP6	424
C8B_2027	C8B	260
Non-Targeting Control_77372	Non-Targeting Control	295
EXTL3_5913	EXTL3	72
RASGRP3_33691	RASGRP3	136
POM121L12_68302	POM121L12	184
CCDC109B_41319	CCDC109B	90
LGMN_15034	LGMN	21
SHISA2_70904	SHISA2	49
LPPR5_63682	LPPR5	108
TRH_19575	TRH	96
C5orf34_70493	C5orf34	81
CT47A12_75947	CT47A12	181
CCDC132_42785	CCDC132	192
KRTAP13-1_60778	KRTAP13-1	191
UCK2_19983	UCK2	61
CKB_3280	CKB	94
FAM3B_39764	FAM3B	72
Non-Targeting Control_76973	Non-Targeting Control	684
NCF1_74298	NCF1	174
COX20_57700	COX20	15
PRKCA_14818	PRKCA	66
E2F8_49784	E2F8	187
AMN1_64401	AMN1	202
GAS1_6892	GAS1	184
SERPINB3_16854	SERPINB3	37
NXT1_36502	NXT1	60
APELA_75863	APELA	215
ETNK1_42539	ETNK1	180
MEF2B_75565	MEF2B	72
PDE2A_13503	PDE2A	54
BTBD19_62185	BTBD19	260
FAM134B_39979	FAM134B	67
ANKRD36B_46356	ANKRD36B	130
FLJ44635_72050	FLJ44635	139
KIF19_58786	KIF19	54
DEFB110_66133	DEFB110	143
OSTF1_35188	OSTF1	130
PUS7_40131	PUS7	83
SNAI2_17735	SNAI2	196
CDON_37451	CDON	98
HECTD4_67370	HECTD4	166
TMEM106B_40375	TMEM106B	93
ZBTB32_35439	ZBTB32	40
ABCD3_15576	ABCD3	77
TAOK1_45813	TAOK1	66
PRKCB_14822	PRKCB	59
SLC12A5_45539	SLC12A5	621
IGLL1_9356	IGLL1	129
TGOLN2_28690	TGOLN2	216
OR52E8_71604	OR52E8	79
TBX4_25007	TBX4	65
SLC26A8_57733	SLC26A8	91
GAGE2A_74929	GAGE2A	93
SLK_25838	SLK	298
FGA_6223	FGA	58
TRIM64_58231	TRIM64	196
GSTO1_24854	GSTO1	51
GALNT10_42679	GALNT10	116
FLJ44635_72051	FLJ44635	41
C10orf107_65329	C10orf107	75
ZNF418_61821	ZNF418	267
NABP2_48774	NABP2	26
SIGLEC5_22949	SIGLEC5	64
WDR83OS_38692	WDR83OS	80
SH3BP1_33319	SH3BP1	29
LIN28A_49763	LIN28A	111
CD14_2604	CD14	35
COL22A1_64051	COL22A1	220
MYH10_12054	MYH10	114
GTF2E2_7940	GTF2E2	45
LOC102724957_76431	LOC102724957	86
SLC9B1_62261	SLC9B1	120
HLA-DRA_8436	HLA-DRA	161
RND1_35938	RND1	159
SDR16C5_64354	SDR16C5	102
URI1_22798	URI1	63
GSK3B_7856	GSK3B	213
G6PC2_46422	G6PC2	96
BHLHE40_22300	BHLHE40	500
IDH3A_9146	IDH3A	82
MED15_39086	MED15	99
Non-Targeting Control_77392	Non-Targeting Control	824
CD160_30193	CD160	100
STOX1_65355	STOX1	69
ANKRD27_52875	ANKRD27	249
CD244_39418	CD244	184
C14orf105_41886	C14orf105	92
U2SURP_32537	U2SURP	37
NFATC2_12496	NFATC2	251
SMYD3_47951	SMYD3	115
PHC3_50597	PHC3	32
CPAMD8_35693	CPAMD8	160
NEXN_55919	NEXN	117
PRB3_14710	PRB3	324
TTPA_19708	TTPA	74
CPA5_56618	CPA5	94
DPYS_5011	DPYS	44
SCG2_21009	SCG2	34
MRPS30_29424	MRPS30	84
OR4A5_51544	OR4A5	145
ZC4H2_43710	ZC4H2	155
TLDC1_46290	TLDC1	89
PHF10_42157	PHF10	86
Non-Targeting Control_77144	Non-Targeting Control	263
KLHL1_46064	KLHL1	108
Non-Targeting Control_76829	Non-Targeting Control	359
FRAT1_26770	FRAT1	104
INAFM1_66662	INAFM1	175
GNRHR_7401	GNRHR	66
FAM193B_40189	FAM193B	111
WBSCR27_62984	WBSCR27	76
CSTL1_59604	CSTL1	267
CHD2_3127	CHD2	65
USF1_20047	USF1	90
RCOR3_43276	RCOR3	86
C9orf152_72471	C9orf152	450
RASSF4_52693	RASSF4	109
N6AMT1_36490	N6AMT1	26
PFKL_13754	PFKL	395
STX4_18448	STX4	219
TTYH1_45382	TTYH1	99
OR13C4_60626	OR13C4	58
RPS4Y2_60773	RPS4Y2	127
RNASE12_73406	RNASE12	161
TEX264_38618	TEX264	195
CD68_2733	CD68	96
LMO3_43653	LMO3	41
METTL21B_34012	METTL21B	85
ASGR2_1251	ASGR2	57
CD3E_2557	CD3E	103
C17orf47_67626	C17orf47	156
RPS6KA3_16524	RPS6KA3	190
GCLM_7201	GCLM	136
GATA1_6906	GATA1	307
UBE2D2_19842	UBE2D2	61
RBBP7_15900	RBBP7	90
TK2_19231	TK2	356
IL17A_9540	IL17A	140
PRY2_73284	PRY2	237
APOC3_973	APOC3	377
NR5A1_6621	NR5A1	265
SLC38A5_56337	SLC38A5	136
SPANXN4_73161	SPANXN4	215
C9orf41_60564	C9orf41	134
EXOC1_43298	EXOC1	15
Non-Targeting Control_76846	Non-Targeting Control	443
SAMD11_62024	SAMD11	93
SLC25A31_52114	SLC25A31	112
ZNF544_35978	ZNF544	196
TOM1L2_61627	TOM1L2	208
ACYP2_251	ACYP2	121
CDKN3_2954	CDKN3	58
ADAMTS20_50681	ADAMTS20	153
UBL4A_21482	UBL4A	145
CD164L2_71117	CD164L2	164
GPR119_60753	GPR119	168
MBOAT7_48993	MBOAT7	77
C8orf44-SGK3_76151	C8orf44-SGK3	203
TMEM120B_61323	TMEM120B	76
ARHGAP44_26405	ARHGAP44	131
PDLIM1_23936	PDLIM1	100
TMEM71_60505	TMEM71	173
COPG1_30901	COPG1	50
AP1S3_59794	AP1S3	60
RAC3_15715	RAC3	112
SLC26A8_57736	SLC26A8	170
BCHE_1620	BCHE	97
C1QL3_71535	C1QL3	103
ZSWIM3_61003	ZSWIM3	46
ARIH1_33804	ARIH1	101
CHIT1_3166	CHIT1	105
FAM196A_73728	FAM196A	90
MESDC1_46737	MESDC1	188
POF1B_50530	POF1B	132
ARX_64126	ARX	125
ZNF699_70360	ZNF699	212
UAP1L1_55820	UAP1L1	135
ZSCAN30_75125	ZSCAN30	144
KIAA0556_32220	KIAA0556	116
RDH16_22426	RDH16	264
WDR76_50487	WDR76	64
P2RY10_36047	P2RY10	40
ATAD1_54404	ATAD1	50
IL10RB_9482	IL10RB	58
DNAH7_44099	DNAH7	212
LYG2_66496	LYG2	96
CCDC61_74923	CCDC61	67
CSNK1G1_39711	CSNK1G1	258
TMEM128_54722	TMEM128	170
ANGEL2_55625	ANGEL2	72
COLEC11_48632	COLEC11	142
MMD_33074	MMD	267
NLRP10_68703	NLRP10	74
Non-Targeting Control_77172	Non-Targeting Control	413
NASP_12212	NASP	99
GPR25_7576	GPR25	136
SPATA31D1_71473	SPATA31D1	99
ZC3H6_70582	ZC3H6	123
PARVA_43218	PARVA	96
EHD3_37135	EHD3	33
PSTK_58065	PSTK	244
ADGRV1_52796	ADGRV1	147
PXDNL_60523	PXDNL	129
FBXO32_57353	FBXO32	121
TMEM171_60241	TMEM171	146
CYP2D6_4382	CYP2D6	71
IGDCC3_25166	IGDCC3	190
IVL_9892	IVL	166
SMARCA2_17744	SMARCA2	38
OR4E2_35252	OR4E2	154
CLASP2_31791	CLASP2	53
GJA1_7144	GJA1	37
OR10K1_71929	OR10K1	223
MPP1_11712	MPP1	67
ARHGAP6_1139	ARHGAP6	350
TYW1B_73084	TYW1B	81
Non-Targeting Control_76663	Non-Targeting Control	418
RND2_21344	RND2	128
MSRB1_39396	MSRB1	106
SNCAIP_25408	SNCAIP	56
ATRN_21989	ATRN	148
SIDT2_37769	SIDT2	89
CHAD_3105	CHAD	191
DNLZ_74714	DNLZ	105
SREBF1_18179	SREBF1	248
IZUMO4_56941	IZUMO4	165
C14orf105_41884	C14orf105	175
PNMA6A_54644	PNMA6A	105
PPM1D_22087	PPM1D	49
ITGA10_22162	ITGA10	139
IFNA5_9214	IFNA5	118
ARMCX5_48205	ARMCX5	74
ATG4A_57431	ATG4A	255
HDAC9_25785	HDAC9	89
CACYBP_35572	CACYBP	171
NRIP3_44378	NRIP3	34
DUSP6_5161	DUSP6	69
NOSIP_37690	NOSIP	58
LDHB_10560	LDHB	246
NAGA_12173	NAGA	77
ARID5B_53015	ARID5B	72
RPL35A_16426	RPL35A	13
OR5AK2_71680	OR5AK2	132
TGM1_19121	TGM1	84
PCDHGA10_43913	PCDHGA10	28
TAGLN_18647	TAGLN	81
OR10T2_59515	OR10T2	207
C9orf139_72486	C9orf139	231
SCLT1_60056	SCLT1	25
NKX2-8_34858	NKX2-8	99
CCNL1_44851	CCNL1	68
DTYMK_5134	DTYMK	153
MYLK4_69107	MYLK4	331
ZKSCAN3_51109	ZKSCAN3	74
C2orf27B_72714	C2orf27B	71
RAB40C_46399	RAB40C	339
CCDC43_58826	CCDC43	111
ANKRD30A_55729	ANKRD30A	212
TRIM17_37897	TRIM17	207
Non-Targeting Control_76524	Non-Targeting Control	816
LYZL6_45136	LYZL6	91
RASGEF1A_65653	RASGEF1A	27
TYW1B_73082	TYW1B	107
MPG_11693	MPG	46
CTSE_4248	CTSE	103
MAGEH1_36305	MAGEH1	108
GSTM5_7906	GSTM5	88
ADPRM_44775	ADPRM	83
KERA_30065	KERA	62
TMEM255A_41356	TMEM255A	100
MYOZ1_46683	MYOZ1	222
ZNF432_25548	ZNF432	77
NPHS1_12777	NPHS1	79
BTBD11_58412	BTBD11	120
EPHA1_5648	EPHA1	23
OR8K3_65275	OR8K3	66
CSTF1_4154	CSTF1	144
ZNF26_20532	ZNF26	91
Non-Targeting Control_76863	Non-Targeting Control	471
FN3K_47428	FN3K	169
Non-Targeting Control_76578	Non-Targeting Control	489
PRR15_65955	PRR15	88
ALS2CR12_59826	ALS2CR12	49
RBMY1A1_15930	RBMY1A1	114
COLGALT2_31806	COLGALT2	383
PRSS41_70228	PRSS41	261
LYPD3_35516	LYPD3	154
ASCC2_53030	ASCC2	58
OCLN_75914	OCLN	20
Non-Targeting Control_77310	Non-Targeting Control	561
RALYL_60543	RALYL	65
SOD2_17938	SOD2	127
MOGAT2_50830	MOGAT2	111
DGKE_22200	DGKE	245
PDGFRL_13580	PDGFRL	146
TMEM183B_74391	TMEM183B	24
PRPF40B_33662	PRPF40B	59
KRT2_10312	KRT2	92
ZNF85_20626	ZNF85	144
CNOT11_42683	CNOT11	409
PNMA1_24276	PNMA1	101
MBD1_11178	MBD1	59
RPGR_16276	RPGR	109
PGP_67527	PGP	361
NDUFB8_12342	NDUFB8	32
RSU1_16670	RSU1	4
SMAD9_10982	SMAD9	191
DRG2_5052	DRG2	97
SLC16A4_23926	SLC16A4	126
MFSD10_27432	MFSD10	74
C1orf167_67904	C1orf167	127
C12orf10_46838	C12orf10	64
ALLC_43488	ALLC	36
SMIM10L1_75200	SMIM10L1	50
PAQR3_62683	PAQR3	41
ZNF860_69630	ZNF860	406
ZNRF3_52964	ZNRF3	133
TCEAL7_44434	TCEAL7	490
ADD3_326	ADD3	68
XRCC6_6716	XRCC6	115
Non-Targeting Control_77052	Non-Targeting Control	402
PDZD8_58106	PDZD8	272
ELANE_5479	ELANE	240
HHIP_47710	HHIP	69
SLFNL1_64669	SLFNL1	162
