sgRNA	Gene	Clip2_4_DE_GFP_high_BC15_IGO_09496_7_S7
SYNE4_63660	SYNE4	71
NUDT2_875	NUDT2	48
SIGLEC5_22949	SIGLEC5	43
SEMA6C_28307	SEMA6C	65
SPINK14_72723	SPINK14	35
MAGI1_24234	MAGI1	79
ESD_5798	ESD	56
FKTN_6173	FKTN	59
CXCL5_17050	CXCL5	37
SLC16A8_33095	SLC16A8	31
SLC43A1_22116	SLC43A1	10
NCLN_44605	NCLN	126
CACNA1H_23392	CACNA1H	27
ELMOD3_53051	ELMOD3	43
DENND1C_50466	DENND1C	23
CC2D2A_45796	CC2D2A	118
NET1_27598	NET1	19
PYY_15201	PYY	36
SLC15A5_74821	SLC15A5	135
PHF1_13854	PHF1	94
KRTAP5-9_10304	KRTAP5-9	268
RAD21L1_73706	RAD21L1	56
TMEM9B_44372	TMEM9B	22
OR51F1_66818	OR51F1	120
CXorf65_63234	CXorf65	134
HIPK2_36331	HIPK2	144
ZNF460_29183	ZNF460	113
